project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-9.247225761413574
CMIP5,ACCESS1-3,r1i1p1,-9.713367462158203
CMIP5,BNU-ESM,r1i1p1,-1.6286609172821045
CMIP5,CCSM4,r1i1p1,-4.182438373565674
CMIP5,CESM1-BGC,r1i1p1,-1.1550884246826172
CMIP5,CESM1-CAM5,r1i1p1,1.1443390846252441
CMIP5,CMCC-CESM,r1i1p1,-20.994585037231445
CMIP5,CMCC-CMS,r1i1p1,-6.904975414276123
CMIP5,CMCC-CM,r1i1p1,-10.928772926330566
CMIP5,CNRM-CM5,r1i1p1,6.4145989418029785
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-11.326587677001953
CMIP5,CanESM2,r1i1p1,-24.07609748840332
CMIP5,EC-EARTH,r1i1p1,-15.87812328338623
CMIP5,FGOALS-g2,r1i1p1,-6.911102771759033
CMIP5,FIO-ESM,r1i1p1,-6.547713279724121
CMIP5,GFDL-CM3,r1i1p1,-14.824763298034668
CMIP5,GFDL-ESM2G,r1i1p1,-7.1979546546936035
CMIP5,GISS-E2-H,r1i1p1,-0.42730775475502014
CMIP5,GISS-E2-R,r1i1p1,1.8935754299163818
CMIP5,HadGEM2-CC,r1i1p1,-19.8044490814209
CMIP5,HadGEM2-ES,r1i1p1,-20.089963912963867
CMIP5,IPSL-CM5A-LR,r1i1p1,-3.888136863708496
CMIP5,IPSL-CM5A-MR,r1i1p1,-17.227413177490234
CMIP5,IPSL-CM5B-LR,r1i1p1,-2.7231292724609375
CMIP5,MIROC-ESM-CHEM,r1i1p1,1.284819483757019
CMIP5,MIROC-ESM,r1i1p1,9.07390022277832
CMIP5,MIROC5,r1i1p1,-3.406606674194336
CMIP5,MPI-ESM-LR,r1i1p1,-2.2557175159454346
CMIP5,MPI-ESM-MR,r1i1p1,-12.602856636047363
CMIP5,MRI-CGCM3,r1i1p1,9.38428020477295
CMIP5,NorESM1-ME,r1i1p1,-4.6977105140686035
CMIP5,NorESM1-M,r1i1p1,-0.8375920057296753
CMIP5,bcc-csm1-1-m,r1i1p1,-12.509922981262207
CMIP5,bcc-csm1-1,r1i1p1,-5.317834377288818
CMIP5,inmcm4,r1i1p1,-32.8658332824707
CMIP6,ACCESS-CM2,r1i1p1f1,-10.290932655334473
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-20.17639923095703
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-22.130146026611328
CMIP6,BCC-CSM2-MR,r1i1p1f1,-12.234565734863281
CMIP6,CAMS-CSM1-0,r1i1p1f1,4.32979679107666
CMIP6,CESM2-WACCM,r1i1p1f1,-16.530765533447266
CMIP6,CMCC-CM2-SR5,r1i1p1f1,-2.876129388809204
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,4.789829254150391
CMIP6,CNRM-CM6-1,r1i1p1f2,-7.956857204437256
CMIP6,CNRM-ESM2-1,r1i1p1f2,-15.14720344543457
CMIP6,CanESM5-CanOE,r1i1p2f1,-16.255966186523438
CMIP6,CanESM5,r1i1p1f1,12.90479564666748
CMIP6,E3SM-1-1,r1i1p1f1,8.451931953430176
CMIP6,EC-Earth3-Veg,r1i1p1f1,10.460920333862305
CMIP6,FGOALS-f3-L,r1i1p1f1,-6.79155969619751
CMIP6,FGOALS-g3,r1i1p1f1,-10.925498962402344
CMIP6,FIO-ESM-2-0,r1i1p1f1,-17.068113327026367
CMIP6,GFDL-CM4,r1i1p1f1,-4.286276340484619
CMIP6,GFDL-ESM4,r1i1p1f1,-5.462860107421875
CMIP6,GISS-E2-1-G,r1i1p1f2,-16.391435623168945
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-14.088458061218262
CMIP6,INM-CM4-8,r1i1p1f1,-11.503971099853516
CMIP6,INM-CM5-0,r1i1p1f1,-17.55146026611328
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-10.64394474029541
CMIP6,KACE-1-0-G,r1i1p1f1,-26.160186767578125
CMIP6,MIROC-ES2L,r1i1p1f2,-3.041421890258789
CMIP6,MIROC6,r1i1p1f1,-2.6051456928253174
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-14.66565990447998
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-21.775348663330078
CMIP6,MRI-ESM2-0,r1i1p1f1,2.03517746925354
CMIP6,NESM3,r1i1p1f1,-24.165834426879883
CMIP6,NorESM2-LM,r1i1p1f1,0.9466520547866821
CMIP6,NorESM2-MM,r1i1p1f1,-13.521902084350586
CMIP6,TaiESM1,r1i1p1f1,-11.952238082885742
CMIP6,UKESM1-0-LL,r1i1p1f2,-22.663368225097656
cordex_cpm,CNRM-AROME41t1,r1i1p1,10.060209274291992
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-3.7993576526641846
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-5.369046211242676
cordex_cpm,GERICS-REMO2015,r1i1p1,-12.805641174316406
cordex_cpm,COSMO-pompa,r1i1p1,0.8690475225448608
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-23.874719619750977
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-11.339583396911621
CORDEX-EUR11,ALADIN53,r1i1p1,12.522610664367676
CORDEX-EUR11,ALADIN63,r1i1p1,11.688451766967773
CORDEX-EUR11,CCLM4-8-17,r1i1p1,13.986913681030273
CORDEX-EUR11,HIRHAM5,r1i1p1,4.5989861488342285
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,0.4924241006374359
CORDEX-EUR11,RACMO22E,r1i1p1,4.986130237579346
CORDEX-EUR11,RCA4,r1i1p1,11.316207885742188
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-8.575862884521484
CORDEX-EUR11,HIRHAM5,r3i1p1,-5.2010579109191895
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-2.924085855484009
CORDEX-EUR11,RACMO22E,r12i1p1,0.6755135655403137
CORDEX-EUR11,RCA4,r12i1p1,-7.666987895965576
CORDEX-EUR11,RCA4,r1i1p1,-14.844528198242188
CORDEX-EUR11,ALADIN63,r1i1p1,-10.171972274780273
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-21.84014320373535
CORDEX-EUR11,HIRHAM5,r1i1p1,-9.475120544433594
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-13.369351387023926
CORDEX-EUR11,RACMO22E,r1i1p1,5.673108100891113
CORDEX-EUR11,RCA4,r1i1p1,-3.36618971824646
CORDEX-EUR11,RegCM4-6,r1i1p1,-14.995591163635254
CORDEX-EUR11,ALADIN63,r1i1p1,-6.723638534545898
CORDEX-EUR11,CCLM4-8-17,r1i1p1,3.278672695159912
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-4.980784893035889
CORDEX-EUR11,RCA4,r1i1p1,-0.03942064195871353
CORDEX-EUR11,REMO2009,r1i1p1,-6.475231170654297
CORDEX-EUR11,REMO2015,r3i1p1,-4.630017280578613
CORDEX-EUR11,ALADIN63,r1i1p1,-19.118423461914062
CORDEX-EUR11,HIRHAM5,r1i1p1,-4.946395397186279
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,8.209425926208496
