project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,12.019885063171387
CMIP5,ACCESS1-3,r1i1p1,10.548103332519531
CMIP5,BNU-ESM,r1i1p1,8.80186653137207
CMIP5,CCSM4,r1i1p1,-1.1255216598510742
CMIP5,CESM1-BGC,r1i1p1,-9.01462173461914
CMIP5,CESM1-CAM5,r1i1p1,25.925107955932617
CMIP5,CMCC-CESM,r1i1p1,16.260665893554688
CMIP5,CMCC-CMS,r1i1p1,-4.536872863769531
CMIP5,CMCC-CM,r1i1p1,9.857460021972656
CMIP5,CNRM-CM5,r1i1p1,1.3677372932434082
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-1.1266611814498901
CMIP5,CanESM2,r1i1p1,16.074764251708984
CMIP5,EC-EARTH,r1i1p1,3.696807861328125
CMIP5,FGOALS-g2,r1i1p1,6.39110803604126
CMIP5,FIO-ESM,r1i1p1,-3.243907928466797
CMIP5,GFDL-CM3,r1i1p1,2.4222989082336426
CMIP5,GFDL-ESM2G,r1i1p1,-15.151651382446289
CMIP5,GISS-E2-H,r1i1p1,-2.22347092628479
CMIP5,GISS-E2-R,r1i1p1,6.992329120635986
CMIP5,HadGEM2-CC,r1i1p1,0.653251051902771
CMIP5,HadGEM2-ES,r1i1p1,-5.184669494628906
CMIP5,IPSL-CM5A-LR,r1i1p1,-8.97000789642334
CMIP5,IPSL-CM5A-MR,r1i1p1,-0.578999400138855
CMIP5,IPSL-CM5B-LR,r1i1p1,-0.5448343753814697
CMIP5,MIROC-ESM-CHEM,r1i1p1,-4.596480846405029
CMIP5,MIROC-ESM,r1i1p1,-7.419064521789551
CMIP5,MIROC5,r1i1p1,18.769590377807617
CMIP5,MPI-ESM-LR,r1i1p1,-7.516240119934082
CMIP5,MPI-ESM-MR,r1i1p1,2.1704845428466797
CMIP5,MRI-CGCM3,r1i1p1,4.0930070877075195
CMIP5,NorESM1-ME,r1i1p1,-4.8924241065979
CMIP5,NorESM1-M,r1i1p1,-4.179192066192627
CMIP5,bcc-csm1-1-m,r1i1p1,1.0584404468536377
CMIP5,bcc-csm1-1,r1i1p1,-5.340553283691406
CMIP5,inmcm4,r1i1p1,-7.876219749450684
CMIP6,ACCESS-CM2,r1i1p1f1,14.080045700073242
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-7.408332824707031
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,8.334617614746094
CMIP6,BCC-CSM2-MR,r1i1p1f1,4.624154567718506
CMIP6,CAMS-CSM1-0,r1i1p1f1,5.592374324798584
CMIP6,CESM2-WACCM,r1i1p1f1,0.9302510619163513
CMIP6,CMCC-CM2-SR5,r1i1p1f1,16.50629425048828
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,7.175625324249268
CMIP6,CNRM-CM6-1,r1i1p1f2,1.0887205600738525
CMIP6,CNRM-ESM2-1,r1i1p1f2,1.5307570695877075
CMIP6,CanESM5-CanOE,r1i1p2f1,14.323954582214355
CMIP6,CanESM5,r1i1p1f1,24.21788787841797
CMIP6,E3SM-1-1,r1i1p1f1,-3.745270252227783
CMIP6,EC-Earth3-Veg,r1i1p1f1,6.849697113037109
CMIP6,FGOALS-f3-L,r1i1p1f1,-5.03641414642334
CMIP6,FGOALS-g3,r1i1p1f1,-11.63813591003418
CMIP6,FIO-ESM-2-0,r1i1p1f1,-5.598814964294434
CMIP6,GFDL-CM4,r1i1p1f1,2.1859426498413086
CMIP6,GFDL-ESM4,r1i1p1f1,6.884572505950928
CMIP6,GISS-E2-1-G,r1i1p1f2,16.57861328125
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,9.602814674377441
CMIP6,INM-CM4-8,r1i1p1f1,-13.774405479431152
CMIP6,INM-CM5-0,r1i1p1f1,14.034202575683594
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-9.461091041564941
CMIP6,KACE-1-0-G,r1i1p1f1,-11.004839897155762
CMIP6,MIROC-ES2L,r1i1p1f2,-8.027326583862305
CMIP6,MIROC6,r1i1p1f1,-17.182130813598633
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,12.814789772033691
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,5.502305030822754
CMIP6,MRI-ESM2-0,r1i1p1f1,1.3631776571273804
CMIP6,NESM3,r1i1p1f1,-3.0381596088409424
CMIP6,NorESM2-LM,r1i1p1f1,-20.110332489013672
CMIP6,NorESM2-MM,r1i1p1f1,2.39064884185791
CMIP6,TaiESM1,r1i1p1f1,-3.950587272644043
CMIP6,UKESM1-0-LL,r1i1p1f2,-4.1249895095825195
cordex_cpm,CNRM-AROME41t1,r1i1p1,-1.8525798320770264
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-10.33198070526123
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-10.897360801696777
