project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-0.6859712600708008
CMIP5,ACCESS1-3,r1i1p1,4.842062473297119
CMIP5,BNU-ESM,r1i1p1,-7.4620561599731445
CMIP5,CCSM4,r1i1p1,4.594404220581055
CMIP5,CESM1-BGC,r1i1p1,-7.019815444946289
CMIP5,CESM1-CAM5,r1i1p1,5.796781063079834
CMIP5,CMCC-CESM,r1i1p1,-6.599391460418701
CMIP5,CMCC-CMS,r1i1p1,-13.497708320617676
CMIP5,CMCC-CM,r1i1p1,6.589941501617432
CMIP5,CNRM-CM5,r1i1p1,15.609783172607422
CMIP5,CSIRO-Mk3-6-0,r1i1p1,6.63593864440918
CMIP5,CanESM2,r1i1p1,-0.9508304595947266
CMIP5,EC-EARTH,r1i1p1,1.616541862487793
CMIP5,FGOALS-g2,r1i1p1,6.075109958648682
CMIP5,FIO-ESM,r1i1p1,2.2026288509368896
CMIP5,GFDL-CM3,r1i1p1,-16.47338104248047
CMIP5,GFDL-ESM2G,r1i1p1,7.4304609298706055
CMIP5,GISS-E2-H,r1i1p1,-14.571198463439941
CMIP5,GISS-E2-R,r1i1p1,-6.160399913787842
CMIP5,HadGEM2-CC,r1i1p1,16.47191047668457
CMIP5,HadGEM2-ES,r1i1p1,3.5179262161254883
CMIP5,IPSL-CM5A-LR,r1i1p1,6.154698371887207
CMIP5,IPSL-CM5A-MR,r1i1p1,-12.375112533569336
CMIP5,IPSL-CM5B-LR,r1i1p1,10.377866744995117
CMIP5,MIROC-ESM-CHEM,r1i1p1,-0.45035529136657715
CMIP5,MIROC-ESM,r1i1p1,13.070647239685059
CMIP5,MIROC5,r1i1p1,1.4358881711959839
CMIP5,MPI-ESM-LR,r1i1p1,12.050477027893066
CMIP5,MPI-ESM-MR,r1i1p1,-2.0107359886169434
CMIP5,MRI-CGCM3,r1i1p1,-2.526036500930786
CMIP5,NorESM1-ME,r1i1p1,-3.5917558670043945
CMIP5,NorESM1-M,r1i1p1,-8.46206283569336
CMIP5,bcc-csm1-1-m,r1i1p1,-2.7814929485321045
CMIP5,bcc-csm1-1,r1i1p1,-5.832489967346191
CMIP5,inmcm4,r1i1p1,4.015596389770508
