project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,0.18776746094226837
CMIP5,ACCESS1-3,r1i1p1,18.62761688232422
CMIP5,BNU-ESM,r1i1p1,2.660658121109009
CMIP5,CCSM4,r1i1p1,3.482684850692749
CMIP5,CESM1-BGC,r1i1p1,-2.8489644527435303
CMIP5,CESM1-CAM5,r1i1p1,12.683693885803223
CMIP5,CMCC-CESM,r1i1p1,-14.304553985595703
CMIP5,CMCC-CMS,r1i1p1,16.064128875732422
CMIP5,CMCC-CM,r1i1p1,16.084857940673828
CMIP5,CNRM-CM5,r1i1p1,22.10013771057129
CMIP5,CSIRO-Mk3-6-0,r1i1p1,4.377584934234619
CMIP5,CanESM2,r1i1p1,20.528318405151367
CMIP5,EC-EARTH,r1i1p1,-1.7274284362792969
CMIP5,FGOALS-g2,r1i1p1,8.18222713470459
CMIP5,FIO-ESM,r1i1p1,-4.175238132476807
CMIP5,GFDL-CM3,r1i1p1,7.906126022338867
CMIP5,GFDL-ESM2G,r1i1p1,-3.401817798614502
CMIP5,GISS-E2-H,r1i1p1,9.316047668457031
CMIP5,GISS-E2-R,r1i1p1,3.519953489303589
CMIP5,HadGEM2-CC,r1i1p1,0.9079864025115967
CMIP5,HadGEM2-ES,r1i1p1,15.479381561279297
CMIP5,IPSL-CM5A-LR,r1i1p1,-1.3788915872573853
CMIP5,IPSL-CM5A-MR,r1i1p1,10.184232711791992
CMIP5,IPSL-CM5B-LR,r1i1p1,9.687180519104004
CMIP5,MIROC-ESM-CHEM,r1i1p1,-2.3143112659454346
CMIP5,MIROC-ESM,r1i1p1,-8.923837661743164
CMIP5,MIROC5,r1i1p1,2.5686404705047607
CMIP5,MPI-ESM-LR,r1i1p1,7.183159828186035
CMIP5,MPI-ESM-MR,r1i1p1,2.1844067573547363
CMIP5,MRI-CGCM3,r1i1p1,16.749797821044922
CMIP5,NorESM1-ME,r1i1p1,0.2940075993537903
CMIP5,NorESM1-M,r1i1p1,-3.116183280944824
CMIP5,bcc-csm1-1-m,r1i1p1,2.6541218757629395
CMIP5,bcc-csm1-1,r1i1p1,-1.3748440742492676
CMIP5,inmcm4,r1i1p1,-8.646726608276367
CMIP6,ACCESS-CM2,r1i1p1f1,-2.425940990447998
CMIP6,ACCESS-ESM1-5,r1i1p1f1,0.4882109463214874
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,6.967045307159424
CMIP6,BCC-CSM2-MR,r1i1p1f1,5.945930480957031
CMIP6,CAMS-CSM1-0,r1i1p1f1,-7.92374324798584
CMIP6,CESM2-WACCM,r1i1p1f1,-7.930865287780762
CMIP6,CMCC-CM2-SR5,r1i1p1f1,8.911267280578613
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,26.48249053955078
CMIP6,CNRM-CM6-1,r1i1p1f2,-0.09565560519695282
CMIP6,CNRM-ESM2-1,r1i1p1f2,4.633490562438965
CMIP6,CanESM5-CanOE,r1i1p2f1,23.74781608581543
CMIP6,CanESM5,r1i1p1f1,38.4084587097168
CMIP6,E3SM-1-1,r1i1p1f1,3.30610728263855
CMIP6,EC-Earth3-Veg,r1i1p1f1,6.751501560211182
CMIP6,FGOALS-f3-L,r1i1p1f1,15.005951881408691
CMIP6,FGOALS-g3,r1i1p1f1,18.8133487701416
CMIP6,FIO-ESM-2-0,r1i1p1f1,6.37285852432251
CMIP6,GFDL-CM4,r1i1p1f1,-3.816993236541748
CMIP6,GFDL-ESM4,r1i1p1f1,13.257916450500488
CMIP6,GISS-E2-1-G,r1i1p1f2,0.8678419589996338
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-5.247236251831055
CMIP6,INM-CM4-8,r1i1p1f1,-0.29915767908096313
CMIP6,INM-CM5-0,r1i1p1f1,28.318531036376953
CMIP6,IPSL-CM6A-LR,r1i1p1f1,3.670717716217041
CMIP6,KACE-1-0-G,r1i1p1f1,17.70185089111328
CMIP6,MIROC-ES2L,r1i1p1f2,7.764945030212402
CMIP6,MIROC6,r1i1p1f1,13.526199340820312
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-6.676873683929443
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,9.00263500213623
CMIP6,MRI-ESM2-0,r1i1p1f1,-11.592424392700195
CMIP6,NESM3,r1i1p1f1,2.8814504146575928
CMIP6,NorESM2-LM,r1i1p1f1,3.766265869140625
CMIP6,NorESM2-MM,r1i1p1f1,16.56339454650879
CMIP6,TaiESM1,r1i1p1f1,18.63492202758789
CMIP6,UKESM1-0-LL,r1i1p1f2,-12.662103652954102
cordex_cpm,CNRM-AROME41t1,r1i1p1,21.685352325439453
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,23.25802230834961
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,32.363075256347656
cordex_cpm,GERICS-REMO2015,r1i1p1,4.416112422943115
cordex_cpm,COSMO-pompa,r1i1p1,0.8461329340934753
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,15.689626693725586
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,30.75440788269043
CORDEX-EUR11,ALADIN53,r1i1p1,23.791719436645508
CORDEX-EUR11,ALADIN63,r1i1p1,20.413116455078125
CORDEX-EUR11,CCLM4-8-17,r1i1p1,10.976052284240723
CORDEX-EUR11,HIRHAM5,r1i1p1,5.637060642242432
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,20.334428787231445
CORDEX-EUR11,RACMO22E,r1i1p1,13.424049377441406
CORDEX-EUR11,RCA4,r1i1p1,16.185562133789062
CORDEX-EUR11,CCLM4-8-17,r12i1p1,13.127843856811523
CORDEX-EUR11,HIRHAM5,r3i1p1,23.422109603881836
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,36.93732452392578
CORDEX-EUR11,RACMO22E,r12i1p1,18.851318359375
CORDEX-EUR11,RCA4,r12i1p1,22.0657901763916
CORDEX-EUR11,RCA4,r1i1p1,15.878518104553223
CORDEX-EUR11,ALADIN63,r1i1p1,29.496828079223633
CORDEX-EUR11,CCLM4-8-17,r1i1p1,20.19881248474121
CORDEX-EUR11,HIRHAM5,r1i1p1,26.73199462890625
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,23.239877700805664
