project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-13.516986846923828
CMIP5,ACCESS1-3,r1i1p1,-6.107532024383545
CMIP5,BNU-ESM,r1i1p1,1.8488669395446777
CMIP5,CCSM4,r1i1p1,-4.334146976470947
CMIP5,CESM1-BGC,r1i1p1,1.1879171133041382
CMIP5,CESM1-CAM5,r1i1p1,-0.39106398820877075
CMIP5,CMCC-CESM,r1i1p1,-17.354942321777344
CMIP5,CMCC-CMS,r1i1p1,-4.445631980895996
CMIP5,CMCC-CM,r1i1p1,-12.242053985595703
CMIP5,CNRM-CM5,r1i1p1,10.989209175109863
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-2.9985218048095703
CMIP5,CanESM2,r1i1p1,-26.248172760009766
CMIP5,EC-EARTH,r1i1p1,-8.148447036743164
CMIP5,FGOALS-g2,r1i1p1,-5.2635064125061035
CMIP5,FIO-ESM,r1i1p1,-9.31283950805664
CMIP5,GFDL-CM3,r1i1p1,-9.74023151397705
CMIP5,GFDL-ESM2G,r1i1p1,-5.437249183654785
CMIP5,GISS-E2-H,r1i1p1,-0.1766463965177536
CMIP5,GISS-E2-R,r1i1p1,0.6442988514900208
CMIP5,HadGEM2-CC,r1i1p1,-25.256845474243164
CMIP5,HadGEM2-ES,r1i1p1,-18.473190307617188
CMIP5,IPSL-CM5A-LR,r1i1p1,-3.7219386100769043
CMIP5,IPSL-CM5A-MR,r1i1p1,-6.35432767868042
CMIP5,IPSL-CM5B-LR,r1i1p1,-0.3289664685726166
CMIP5,MIROC-ESM-CHEM,r1i1p1,-2.302149772644043
CMIP5,MIROC-ESM,r1i1p1,7.022873878479004
CMIP5,MIROC5,r1i1p1,-2.6504135131835938
CMIP5,MPI-ESM-LR,r1i1p1,1.28475022315979
CMIP5,MPI-ESM-MR,r1i1p1,-14.106925964355469
CMIP5,MRI-CGCM3,r1i1p1,18.979074478149414
CMIP5,NorESM1-ME,r1i1p1,-2.97251296043396
CMIP5,NorESM1-M,r1i1p1,7.957535743713379
CMIP5,bcc-csm1-1-m,r1i1p1,-12.271756172180176
CMIP5,bcc-csm1-1,r1i1p1,-12.124902725219727
CMIP5,inmcm4,r1i1p1,-29.248451232910156
CMIP6,ACCESS-CM2,r1i1p1f1,-1.0763213634490967
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-21.455352783203125
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-15.247528076171875
CMIP6,BCC-CSM2-MR,r1i1p1f1,-5.594019412994385
CMIP6,CAMS-CSM1-0,r1i1p1f1,14.546573638916016
CMIP6,CESM2-WACCM,r1i1p1f1,-15.770246505737305
CMIP6,CMCC-CM2-SR5,r1i1p1f1,4.75878381729126
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,13.348285675048828
CMIP6,CNRM-CM6-1,r1i1p1f2,-4.678248882293701
CMIP6,CNRM-ESM2-1,r1i1p1f2,-14.949112892150879
CMIP6,CanESM5-CanOE,r1i1p2f1,-13.721242904663086
CMIP6,CanESM5,r1i1p1f1,21.533340454101562
CMIP6,E3SM-1-1,r1i1p1f1,13.18321704864502
CMIP6,EC-Earth3-Veg,r1i1p1f1,20.461578369140625
CMIP6,FGOALS-f3-L,r1i1p1f1,-4.041936874389648
CMIP6,FGOALS-g3,r1i1p1f1,-11.521707534790039
