project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,13.418212890625
CMIP5,ACCESS1-3,r1i1p1,18.272857666015625
CMIP5,BNU-ESM,r1i1p1,8.021768569946289
CMIP5,CCSM4,r1i1p1,3.369588851928711
CMIP5,CESM1-BGC,r1i1p1,-6.40791654586792
CMIP5,CESM1-CAM5,r1i1p1,24.791353225708008
CMIP5,CMCC-CESM,r1i1p1,15.590338706970215
CMIP5,CMCC-CMS,r1i1p1,5.438348770141602
CMIP5,CMCC-CM,r1i1p1,12.363418579101562
CMIP5,CNRM-CM5,r1i1p1,2.379112482070923
CMIP5,CSIRO-Mk3-6-0,r1i1p1,8.332756996154785
CMIP5,CanESM2,r1i1p1,15.177409172058105
CMIP5,EC-EARTH,r1i1p1,12.56217098236084
CMIP5,FGOALS-g2,r1i1p1,8.302699089050293
CMIP5,FIO-ESM,r1i1p1,3.19781494140625
CMIP5,GFDL-CM3,r1i1p1,10.992966651916504
CMIP5,GFDL-ESM2G,r1i1p1,-14.00033187866211
CMIP5,GISS-E2-H,r1i1p1,1.8083158731460571
CMIP5,GISS-E2-R,r1i1p1,10.562973976135254
CMIP5,HadGEM2-CC,r1i1p1,2.426252603530884
CMIP5,HadGEM2-ES,r1i1p1,1.030324935913086
CMIP5,IPSL-CM5A-LR,r1i1p1,-1.432712197303772
CMIP5,IPSL-CM5A-MR,r1i1p1,1.8947190046310425
CMIP5,IPSL-CM5B-LR,r1i1p1,6.645079612731934
CMIP5,MIROC-ESM-CHEM,r1i1p1,-0.7094312310218811
CMIP5,MIROC-ESM,r1i1p1,-3.5514354705810547
CMIP5,MIROC5,r1i1p1,23.422014236450195
CMIP5,MPI-ESM-LR,r1i1p1,-4.184594631195068
CMIP5,MPI-ESM-MR,r1i1p1,3.6059465408325195
CMIP5,MRI-CGCM3,r1i1p1,8.730976104736328
CMIP5,NorESM1-ME,r1i1p1,-3.0056965351104736
CMIP5,NorESM1-M,r1i1p1,-6.6092071533203125
CMIP5,bcc-csm1-1-m,r1i1p1,0.620823860168457
CMIP5,bcc-csm1-1,r1i1p1,-5.548149108886719
CMIP5,inmcm4,r1i1p1,-8.197086334228516
CMIP6,ACCESS-CM2,r1i1p1f1,19.070329666137695
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-5.477449893951416
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,5.348527431488037
CMIP6,BCC-CSM2-MR,r1i1p1f1,4.729733467102051
CMIP6,CAMS-CSM1-0,r1i1p1f1,4.184051990509033
CMIP6,CESM2-WACCM,r1i1p1f1,0.599209725856781
CMIP6,CMCC-CM2-SR5,r1i1p1f1,16.724430084228516
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,12.404215812683105
CMIP6,CNRM-CM6-1,r1i1p1f2,-1.1033257246017456
CMIP6,CNRM-ESM2-1,r1i1p1f2,8.294975280761719
CMIP6,CanESM5-CanOE,r1i1p2f1,21.052608489990234
CMIP6,CanESM5,r1i1p1f1,24.733224868774414
CMIP6,E3SM-1-1,r1i1p1f1,4.938226222991943
CMIP6,EC-Earth3-Veg,r1i1p1f1,3.7949655055999756
CMIP6,FGOALS-f3-L,r1i1p1f1,-1.389528512954712
CMIP6,FGOALS-g3,r1i1p1f1,-12.839102745056152
CMIP6,FIO-ESM-2-0,r1i1p1f1,-5.787745475769043
CMIP6,GFDL-CM4,r1i1p1f1,9.823809623718262
CMIP6,GFDL-ESM4,r1i1p1f1,17.1894474029541
CMIP6,GISS-E2-1-G,r1i1p1f2,17.330284118652344
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,17.544689178466797
CMIP6,INM-CM4-8,r1i1p1f1,-13.675176620483398
CMIP6,INM-CM5-0,r1i1p1f1,14.454155921936035
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-7.484930038452148
CMIP6,KACE-1-0-G,r1i1p1f1,-5.606516361236572
CMIP6,MIROC-ES2L,r1i1p1f2,-4.061434745788574
CMIP6,MIROC6,r1i1p1f1,-21.163711547851562
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,11.078203201293945
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,3.5391457080841064
CMIP6,MRI-ESM2-0,r1i1p1f1,8.689915657043457
CMIP6,NESM3,r1i1p1f1,-2.6117544174194336
CMIP6,NorESM2-LM,r1i1p1f1,-25.77914047241211
CMIP6,NorESM2-MM,r1i1p1f1,1.6831411123275757
CMIP6,TaiESM1,r1i1p1f1,-3.7855312824249268
CMIP6,UKESM1-0-LL,r1i1p1f2,7.985419750213623
cordex_cpm,CNRM-AROME41t1,r1i1p1,1.4904594421386719
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-11.52750301361084
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-4.967501640319824
cordex_cpm,GERICS-REMO2015,r1i1p1,5.75486946105957
cordex_cpm,COSMO-pompa,r1i1p1,1.2611324787139893
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,4.3158345222473145
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,3.268470525741577
CORDEX-EUR11,ALADIN53,r1i1p1,12.574289321899414
CORDEX-EUR11,ALADIN63,r1i1p1,4.110889434814453
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-7.270577430725098
CORDEX-EUR11,HIRHAM5,r1i1p1,1.2948168516159058
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-7.208556652069092
CORDEX-EUR11,RACMO22E,r1i1p1,-1.173294186592102
CORDEX-EUR11,RCA4,r1i1p1,5.774291515350342
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-11.572985649108887
CORDEX-EUR11,HIRHAM5,r3i1p1,26.891998291015625
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-5.99468469619751
CORDEX-EUR11,RACMO22E,r12i1p1,-10.925469398498535
CORDEX-EUR11,RCA4,r12i1p1,-3.5870041847229004
CORDEX-EUR11,RCA4,r1i1p1,13.448293685913086
CORDEX-EUR11,ALADIN63,r1i1p1,14.528115272521973
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-2.4018075466156006
CORDEX-EUR11,HIRHAM5,r1i1p1,-9.749393463134766
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-6.45297908782959
CORDEX-EUR11,RACMO22E,r1i1p1,-10.193243026733398
CORDEX-EUR11,RCA4,r1i1p1,-6.154666900634766
CORDEX-EUR11,RegCM4-6,r1i1p1,-7.489802837371826
CORDEX-EUR11,ALADIN63,r1i1p1,3.5910184383392334
CORDEX-EUR11,CCLM4-8-17,r1i1p1,2.6078755855560303
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-2.1979079246520996
CORDEX-EUR11,RCA4,r1i1p1,-7.7474822998046875
CORDEX-EUR11,REMO2009,r1i1p1,-1.3275243043899536
CORDEX-EUR11,REMO2015,r3i1p1,10.780582427978516
CORDEX-EUR11,ALADIN63,r1i1p1,0.23543810844421387
CORDEX-EUR11,HIRHAM5,r1i1p1,8.246352195739746
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,7.05631685256958
CORDEX-EUR11,RACMO22E,r1i1p1,1.9339653253555298
CORDEX-EUR11,RCA4,r1i1p1,3.813206672668457
CORDEX-EUR11,REMO2015,r1i1p1,13.506805419921875
