project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,2.435378074645996
CMIP5,ACCESS1-3,r1i1p1,4.937674045562744
CMIP5,BNU-ESM,r1i1p1,-10.936680793762207
CMIP5,CCSM4,r1i1p1,15.305889129638672
CMIP5,CESM1-BGC,r1i1p1,-8.041642189025879
CMIP5,CESM1-CAM5,r1i1p1,3.4253194332122803
CMIP5,CMCC-CESM,r1i1p1,-8.26613712310791
CMIP5,CMCC-CMS,r1i1p1,-10.029181480407715
CMIP5,CMCC-CM,r1i1p1,8.789191246032715
CMIP5,CNRM-CM5,r1i1p1,26.843305587768555
CMIP5,CSIRO-Mk3-6-0,r1i1p1,3.428837299346924
CMIP5,CanESM2,r1i1p1,-3.078134298324585
CMIP5,EC-EARTH,r1i1p1,-2.361617088317871
CMIP5,FGOALS-g2,r1i1p1,8.257956504821777
CMIP5,FIO-ESM,r1i1p1,2.074802875518799
CMIP5,GFDL-CM3,r1i1p1,-15.14707088470459
CMIP5,GFDL-ESM2G,r1i1p1,10.87255859375
CMIP5,GISS-E2-H,r1i1p1,-19.34147834777832
CMIP5,GISS-E2-R,r1i1p1,-5.579241752624512
CMIP5,HadGEM2-CC,r1i1p1,16.496980667114258
CMIP5,HadGEM2-ES,r1i1p1,7.191163063049316
CMIP5,IPSL-CM5A-LR,r1i1p1,5.583685874938965
CMIP5,IPSL-CM5A-MR,r1i1p1,-4.5387444496154785
CMIP5,IPSL-CM5B-LR,r1i1p1,14.597505569458008
CMIP5,MIROC-ESM-CHEM,r1i1p1,4.480776786804199
CMIP5,MIROC-ESM,r1i1p1,23.51852035522461
CMIP5,MIROC5,r1i1p1,-1.2040263414382935
CMIP5,MPI-ESM-LR,r1i1p1,13.010820388793945
CMIP5,MPI-ESM-MR,r1i1p1,-2.668665885925293
CMIP5,MRI-CGCM3,r1i1p1,-2.2708470821380615
CMIP5,NorESM1-ME,r1i1p1,-0.7271162271499634
CMIP5,NorESM1-M,r1i1p1,-11.65441608428955
CMIP5,bcc-csm1-1-m,r1i1p1,1.3220728635787964
CMIP5,bcc-csm1-1,r1i1p1,-4.874663352966309
CMIP5,inmcm4,r1i1p1,5.815465450286865
CMIP6,ACCESS-CM2,r1i1p1f1,8.700883865356445
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-17.838788986206055
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,1.5898076295852661
CMIP6,BCC-CSM2-MR,r1i1p1f1,11.425902366638184
CMIP6,CAMS-CSM1-0,r1i1p1f1,5.422907829284668
CMIP6,CESM2-WACCM,r1i1p1f1,5.4832916259765625
CMIP6,CMCC-CM2-SR5,r1i1p1f1,5.548583030700684
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-17.796546936035156
CMIP6,CNRM-CM6-1,r1i1p1f2,4.282169342041016
CMIP6,CNRM-ESM2-1,r1i1p1f2,-1.343580722808838
CMIP6,CanESM5-CanOE,r1i1p2f1,1.6252259016036987
CMIP6,CanESM5,r1i1p1f1,8.125622749328613
CMIP6,E3SM-1-1,r1i1p1f1,7.2591423988342285
CMIP6,EC-Earth3-Veg,r1i1p1f1,3.1859521865844727
CMIP6,FGOALS-f3-L,r1i1p1f1,-4.142478942871094
CMIP6,FGOALS-g3,r1i1p1f1,6.098097801208496
CMIP6,FIO-ESM-2-0,r1i1p1f1,-6.706792831420898
CMIP6,GFDL-CM4,r1i1p1f1,13.992549896240234
CMIP6,GFDL-ESM4,r1i1p1f1,3.6061809062957764
CMIP6,GISS-E2-1-G,r1i1p1f2,-12.770320892333984
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-17.23909568786621
CMIP6,INM-CM4-8,r1i1p1f1,1.9339790344238281
CMIP6,INM-CM5-0,r1i1p1f1,-13.310874938964844
CMIP6,IPSL-CM6A-LR,r1i1p1f1,4.291067123413086
CMIP6,KACE-1-0-G,r1i1p1f1,-4.477818965911865
CMIP6,MIROC-ES2L,r1i1p1f2,-7.63245153427124
CMIP6,MIROC6,r1i1p1f1,-5.53647518157959
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,10.78143310546875
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,0.565893292427063
CMIP6,MRI-ESM2-0,r1i1p1f1,18.40223503112793
CMIP6,NESM3,r1i1p1f1,-19.028522491455078
CMIP6,NorESM2-LM,r1i1p1f1,14.752921104431152
CMIP6,NorESM2-MM,r1i1p1f1,1.4344656467437744
CMIP6,TaiESM1,r1i1p1f1,14.260709762573242
CMIP6,UKESM1-0-LL,r1i1p1f2,-2.8583881855010986
cordex_cpm,CNRM-AROME41t1,r1i1p1,11.315672874450684
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,38.165870666503906
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,49.589508056640625
cordex_cpm,GERICS-REMO2015,r1i1p1,-20.699554443359375
cordex_cpm,COSMO-pompa,r1i1p1,3.7540721893310547
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-2.2887685298919678
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,12.97298812866211
CORDEX-EUR11,ALADIN53,r1i1p1,8.994826316833496
CORDEX-EUR11,ALADIN63,r1i1p1,14.058317184448242
CORDEX-EUR11,CCLM4-8-17,r1i1p1,2.850013494491577
CORDEX-EUR11,HIRHAM5,r1i1p1,18.087209701538086
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,3.922274351119995
CORDEX-EUR11,RACMO22E,r1i1p1,28.86379623413086
CORDEX-EUR11,RCA4,r1i1p1,0.22079157829284668
CORDEX-EUR11,CCLM4-8-17,r12i1p1,43.50524139404297
CORDEX-EUR11,HIRHAM5,r3i1p1,-4.705793380737305
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,46.840431213378906
CORDEX-EUR11,RACMO22E,r12i1p1,33.81796646118164
CORDEX-EUR11,RCA4,r12i1p1,23.724641799926758
CORDEX-EUR11,RCA4,r1i1p1,-20.84463882446289
CORDEX-EUR11,ALADIN63,r1i1p1,2.9181039333343506
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-1.6896284818649292
CORDEX-EUR11,HIRHAM5,r1i1p1,0.6405742168426514
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,8.16491413116455
CORDEX-EUR11,RACMO22E,r1i1p1,5.182614326477051
CORDEX-EUR11,RCA4,r1i1p1,6.754394054412842
CORDEX-EUR11,RegCM4-6,r1i1p1,4.520686149597168
CORDEX-EUR11,ALADIN63,r1i1p1,14.974520683288574
CORDEX-EUR11,CCLM4-8-17,r1i1p1,14.890087127685547
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,16.77767562866211
CORDEX-EUR11,RCA4,r1i1p1,9.530844688415527
CORDEX-EUR11,REMO2009,r1i1p1,28.680587768554688
CORDEX-EUR11,REMO2015,r3i1p1,-21.926488876342773
CORDEX-EUR11,ALADIN63,r1i1p1,-4.110536098480225
CORDEX-EUR11,HIRHAM5,r1i1p1,-14.127524375915527
