project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,8.70328426361084
CMIP5,ACCESS1-3,r1i1p1,2.8411855697631836
CMIP5,BNU-ESM,r1i1p1,8.465901374816895
CMIP5,CCSM4,r1i1p1,-0.19315138459205627
CMIP5,CESM1-BGC,r1i1p1,-0.6495675444602966
CMIP5,CESM1-CAM5,r1i1p1,15.052156448364258
CMIP5,CMCC-CESM,r1i1p1,-13.997686386108398
CMIP5,CMCC-CMS,r1i1p1,-4.295477867126465
CMIP5,CMCC-CM,r1i1p1,-0.09436801820993423
CMIP5,CNRM-CM5,r1i1p1,11.814130783081055
CMIP5,CSIRO-Mk3-6-0,r1i1p1,9.078668594360352
CMIP5,CanESM2,r1i1p1,17.817977905273438
CMIP5,EC-EARTH,r1i1p1,1.3204331398010254
CMIP5,FGOALS-g2,r1i1p1,3.746448040008545
CMIP5,FIO-ESM,r1i1p1,1.9340459108352661
CMIP5,GFDL-CM3,r1i1p1,13.9463472366333
CMIP5,GFDL-ESM2G,r1i1p1,5.1918768882751465
CMIP5,GISS-E2-H,r1i1p1,1.4655158519744873
CMIP5,GISS-E2-R,r1i1p1,-12.272990226745605
CMIP5,HadGEM2-CC,r1i1p1,-3.396517515182495
CMIP5,HadGEM2-ES,r1i1p1,6.050107002258301
CMIP5,IPSL-CM5A-LR,r1i1p1,-4.472927570343018
CMIP5,IPSL-CM5A-MR,r1i1p1,12.998712539672852
CMIP5,IPSL-CM5B-LR,r1i1p1,16.642942428588867
CMIP5,MIROC-ESM-CHEM,r1i1p1,4.836625099182129
CMIP5,MIROC-ESM,r1i1p1,-0.22693541646003723
CMIP5,MIROC5,r1i1p1,1.291563630104065
CMIP5,MPI-ESM-LR,r1i1p1,3.3833377361297607
CMIP5,MPI-ESM-MR,r1i1p1,1.9982105493545532
CMIP5,MRI-CGCM3,r1i1p1,7.0293402671813965
CMIP5,NorESM1-ME,r1i1p1,0.9284223318099976
CMIP5,NorESM1-M,r1i1p1,1.4755185842514038
CMIP5,bcc-csm1-1-m,r1i1p1,1.6493862867355347
CMIP5,bcc-csm1-1,r1i1p1,-5.167879104614258
CMIP5,inmcm4,r1i1p1,4.235804557800293
CMIP6,ACCESS-CM2,r1i1p1f1,-7.006844997406006
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-2.4693057537078857
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,11.039366722106934
CMIP6,BCC-CSM2-MR,r1i1p1f1,7.619997024536133
CMIP6,CAMS-CSM1-0,r1i1p1f1,-4.119668960571289
CMIP6,CESM2-WACCM,r1i1p1f1,-6.872150421142578
CMIP6,CMCC-CM2-SR5,r1i1p1f1,9.318008422851562
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,22.108789443969727
CMIP6,CNRM-CM6-1,r1i1p1f2,-5.998398303985596
CMIP6,CNRM-ESM2-1,r1i1p1f2,-17.433738708496094
CMIP6,CanESM5-CanOE,r1i1p2f1,10.027838706970215
CMIP6,CanESM5,r1i1p1f1,17.90117835998535
CMIP6,E3SM-1-1,r1i1p1f1,9.582435607910156
CMIP6,EC-Earth3-Veg,r1i1p1f1,4.826763153076172
CMIP6,FGOALS-f3-L,r1i1p1f1,12.561570167541504
CMIP6,FGOALS-g3,r1i1p1f1,9.226668357849121
CMIP6,FIO-ESM-2-0,r1i1p1f1,-7.550657749176025
CMIP6,GFDL-CM4,r1i1p1f1,-1.2043617963790894
CMIP6,GFDL-ESM4,r1i1p1f1,7.5145111083984375
CMIP6,GISS-E2-1-G,r1i1p1f2,3.8727290630340576
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-10.195701599121094
CMIP6,INM-CM4-8,r1i1p1f1,-0.48769786953926086
CMIP6,INM-CM5-0,r1i1p1f1,27.11896514892578
CMIP6,IPSL-CM6A-LR,r1i1p1f1,7.1708245277404785
CMIP6,KACE-1-0-G,r1i1p1f1,18.495847702026367
CMIP6,MIROC-ES2L,r1i1p1f2,10.723650932312012
CMIP6,MIROC6,r1i1p1f1,8.202536582946777
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-15.094945907592773
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-0.49342453479766846
CMIP6,MRI-ESM2-0,r1i1p1f1,-7.5238518714904785
CMIP6,NESM3,r1i1p1f1,-6.694340705871582
CMIP6,NorESM2-LM,r1i1p1f1,11.77454662322998
CMIP6,NorESM2-MM,r1i1p1f1,-0.9018526673316956
CMIP6,TaiESM1,r1i1p1f1,16.374277114868164
CMIP6,UKESM1-0-LL,r1i1p1f2,-17.68049430847168
cordex_cpm,CNRM-AROME41t1,r1i1p1,13.681183815002441
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,19.98535919189453
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,29.2934627532959
cordex_cpm,GERICS-REMO2015,r1i1p1,-2.491920232772827
cordex_cpm,COSMO-pompa,r1i1p1,3.9638941287994385
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,8.313122749328613
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,5.878241539001465
CORDEX-EUR11,ALADIN53,r1i1p1,14.342061042785645
CORDEX-EUR11,ALADIN63,r1i1p1,14.055471420288086
CORDEX-EUR11,CCLM4-8-17,r1i1p1,10.83182144165039
CORDEX-EUR11,HIRHAM5,r1i1p1,5.880678653717041
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,14.804120063781738
CORDEX-EUR11,RACMO22E,r1i1p1,11.077254295349121
CORDEX-EUR11,RCA4,r1i1p1,11.30128288269043
CORDEX-EUR11,CCLM4-8-17,r12i1p1,17.321584701538086
CORDEX-EUR11,HIRHAM5,r3i1p1,20.289827346801758
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,25.477102279663086
CORDEX-EUR11,RACMO22E,r12i1p1,23.410629272460938
CORDEX-EUR11,RCA4,r12i1p1,19.161361694335938
CORDEX-EUR11,RCA4,r1i1p1,15.869734764099121
CORDEX-EUR11,ALADIN63,r1i1p1,19.474411010742188
CORDEX-EUR11,CCLM4-8-17,r1i1p1,11.066795349121094
CORDEX-EUR11,HIRHAM5,r1i1p1,15.083492279052734
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,9.912388801574707
CORDEX-EUR11,RACMO22E,r1i1p1,16.766042709350586
CORDEX-EUR11,RCA4,r1i1p1,7.40837287902832
CORDEX-EUR11,RegCM4-6,r1i1p1,6.188259601593018
CORDEX-EUR11,ALADIN63,r1i1p1,3.8181164264678955
CORDEX-EUR11,CCLM4-8-17,r1i1p1,1.8742989301681519
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-1.5533292293548584
CORDEX-EUR11,RCA4,r1i1p1,3.7562079429626465
CORDEX-EUR11,REMO2009,r1i1p1,-5.167941570281982
CORDEX-EUR11,REMO2015,r3i1p1,-1.761985182762146
CORDEX-EUR11,ALADIN63,r1i1p1,-4.485220909118652
CORDEX-EUR11,HIRHAM5,r1i1p1,-5.0753912925720215
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-3.335552930831909
CORDEX-EUR11,RACMO22E,r1i1p1,-1.8083781003952026
CORDEX-EUR11,RCA4,r1i1p1,-5.286427021026611
CORDEX-EUR11,REMO2015,r1i1p1,-4.515722274780273
UKCP-GCM,land-gcm,01,2.014512595591648
UKCP-GCM,land-gcm,02,7.425826750475902
UKCP-GCM,land-gcm,03,3.469670760016651
UKCP-GCM,land-gcm,04,-7.443499028454966
UKCP-GCM,land-gcm,05,24.111537580484434
UKCP-GCM,land-gcm,06,-9.488210540426696
UKCP-GCM,land-gcm,07,-4.207913427662528
UKCP-GCM,land-gcm,8,8.15484921209822
UKCP-GCM,land-gcm,9,21.343913952529327
UKCP-GCM,land-gcm,10,17.948463463949675
UKCP-GCM,land-gcm,11,-6.219409073230616
UKCP-GCM,land-gcm,12,0.9363928977987388
UKCP-GCM,land-gcm,13,-15.694756608848811
UKCP-GCM,land-gcm,14,27.02740355088417
UKCP-GCM,land-gcm,15,9.473553866826057
UKCP-RCM,land-rcm,01,0.6955349924682966
UKCP-RCM,land-rcm,04,-6.721800754033678
UKCP-RCM,land-rcm,05,20.158612967705956
UKCP-RCM,land-rcm,06,-3.1068775186601334
UKCP-RCM,land-rcm,07,-5.019094641924812
UKCP-RCM,land-rcm,8,1.8422947407096855
UKCP-RCM,land-rcm,9,23.73245706497382
UKCP-RCM,land-rcm,10,11.37768649676229
UKCP-RCM,land-rcm,11,-0.8646655018958205
UKCP-RCM,land-rcm,12,2.3402148107917307
UKCP-RCM,land-rcm,13,-12.023358241308756
UKCP-RCM,land-rcm,15,8.051368421104845
