project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-6.9313273429870605
CMIP5,ACCESS1-3,r1i1p1,-14.366312026977539
CMIP5,BNU-ESM,r1i1p1,-1.9489036798477173
CMIP5,CCSM4,r1i1p1,-2.1253280639648438
CMIP5,CESM1-BGC,r1i1p1,-5.332594871520996
CMIP5,CESM1-CAM5,r1i1p1,0.07440292835235596
CMIP5,CMCC-CESM,r1i1p1,-30.679447174072266
CMIP5,CMCC-CMS,r1i1p1,-10.556427001953125
CMIP5,CMCC-CM,r1i1p1,-2.353695869445801
CMIP5,CNRM-CM5,r1i1p1,8.015101432800293
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-20.8138484954834
CMIP5,CanESM2,r1i1p1,-25.657835006713867
CMIP5,EC-EARTH,r1i1p1,-25.423442840576172
CMIP5,FGOALS-g2,r1i1p1,-10.725481033325195
CMIP5,FIO-ESM,r1i1p1,-1.4115358591079712
CMIP5,GFDL-CM3,r1i1p1,-16.553922653198242
CMIP5,GFDL-ESM2G,r1i1p1,-10.094505310058594
CMIP5,GISS-E2-H,r1i1p1,0.041104063391685486
CMIP5,GISS-E2-R,r1i1p1,5.255524635314941
CMIP5,HadGEM2-CC,r1i1p1,-14.4732027053833
CMIP5,HadGEM2-ES,r1i1p1,-21.288654327392578
CMIP5,IPSL-CM5A-LR,r1i1p1,-3.8497493267059326
CMIP5,IPSL-CM5A-MR,r1i1p1,-20.371761322021484
CMIP5,IPSL-CM5B-LR,r1i1p1,-2.9211668968200684
CMIP5,MIROC-ESM-CHEM,r1i1p1,9.994209289550781
CMIP5,MIROC-ESM,r1i1p1,14.608119010925293
CMIP5,MIROC5,r1i1p1,-0.3457368314266205
CMIP5,MPI-ESM-LR,r1i1p1,-3.176868438720703
CMIP5,MPI-ESM-MR,r1i1p1,-11.609090805053711
CMIP5,MRI-CGCM3,r1i1p1,7.428769111633301
CMIP5,NorESM1-ME,r1i1p1,-8.289785385131836
CMIP5,NorESM1-M,r1i1p1,-6.5195159912109375
CMIP5,bcc-csm1-1-m,r1i1p1,-13.763143539428711
CMIP5,bcc-csm1-1,r1i1p1,4.3910746574401855
CMIP5,inmcm4,r1i1p1,-39.33910369873047
CMIP6,ACCESS-CM2,r1i1p1f1,-20.85734748840332
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-13.188460350036621
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-26.76245880126953
CMIP6,BCC-CSM2-MR,r1i1p1f1,-18.111160278320312
CMIP6,CAMS-CSM1-0,r1i1p1f1,7.012488842010498
CMIP6,CESM2-WACCM,r1i1p1f1,-17.351728439331055
CMIP6,CMCC-CM2-SR5,r1i1p1f1,-4.683318614959717
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,8.210680961608887
CMIP6,CNRM-CM6-1,r1i1p1f2,-3.3601861000061035
CMIP6,CNRM-ESM2-1,r1i1p1f2,-14.95045280456543
CMIP6,CanESM5-CanOE,r1i1p2f1,-20.49826431274414
CMIP6,CanESM5,r1i1p1f1,8.35539436340332
CMIP6,E3SM-1-1,r1i1p1f1,10.409571647644043
CMIP6,EC-Earth3-Veg,r1i1p1f1,10.599649429321289
CMIP6,FGOALS-f3-L,r1i1p1f1,-0.8681613802909851
CMIP6,FGOALS-g3,r1i1p1f1,-8.981199264526367
CMIP6,FIO-ESM-2-0,r1i1p1f1,-17.380931854248047
CMIP6,GFDL-CM4,r1i1p1f1,-2.155501127243042
CMIP6,GFDL-ESM4,r1i1p1f1,-10.692329406738281
CMIP6,GISS-E2-1-G,r1i1p1f2,-17.3103084564209
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-15.878593444824219
CMIP6,INM-CM4-8,r1i1p1f1,-11.770896911621094
CMIP6,INM-CM5-0,r1i1p1f1,-17.90945053100586
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-12.643205642700195
CMIP6,KACE-1-0-G,r1i1p1f1,-35.9911994934082
CMIP6,MIROC-ES2L,r1i1p1f2,-3.3844478130340576
CMIP6,MIROC6,r1i1p1f1,-8.325676918029785
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-13.419668197631836
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-18.559410095214844
CMIP6,MRI-ESM2-0,r1i1p1f1,2.9424092769622803
CMIP6,NESM3,r1i1p1f1,-26.072341918945312
CMIP6,NorESM2-LM,r1i1p1f1,-0.7748460173606873
CMIP6,NorESM2-MM,r1i1p1f1,-7.155925750732422
CMIP6,TaiESM1,r1i1p1f1,-7.658827304840088
CMIP6,UKESM1-0-LL,r1i1p1f2,-22.26544952392578
cordex_cpm,CNRM-AROME41t1,r1i1p1,8.535913467407227
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-11.253046035766602
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-19.082592010498047
cordex_cpm,GERICS-REMO2015,r1i1p1,-15.622660636901855
cordex_cpm,COSMO-pompa,r1i1p1,-0.6583490967750549
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-18.988561630249023
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-10.773062705993652
CORDEX-EUR11,ALADIN53,r1i1p1,12.94614028930664
CORDEX-EUR11,ALADIN63,r1i1p1,15.529932022094727
CORDEX-EUR11,CCLM4-8-17,r1i1p1,26.675479888916016
CORDEX-EUR11,HIRHAM5,r1i1p1,9.462027549743652
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,0.8782914876937866
CORDEX-EUR11,RACMO22E,r1i1p1,3.8502142429351807
CORDEX-EUR11,RCA4,r1i1p1,20.440502166748047
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-14.389006614685059
CORDEX-EUR11,HIRHAM5,r3i1p1,3.898888349533081
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-10.565052032470703
CORDEX-EUR11,RACMO22E,r12i1p1,-8.41270637512207
CORDEX-EUR11,RCA4,r12i1p1,-15.405448913574219
CORDEX-EUR11,RCA4,r1i1p1,-19.065853118896484
CORDEX-EUR11,ALADIN63,r1i1p1,-10.436042785644531
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-18.242250442504883
CORDEX-EUR11,HIRHAM5,r1i1p1,-8.81735897064209
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-15.848724365234375
CORDEX-EUR11,RACMO22E,r1i1p1,4.976877689361572
CORDEX-EUR11,RCA4,r1i1p1,0.02167491428554058
CORDEX-EUR11,RegCM4-6,r1i1p1,-9.324566841125488
CORDEX-EUR11,ALADIN63,r1i1p1,-4.545806884765625
CORDEX-EUR11,CCLM4-8-17,r1i1p1,11.504767417907715
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-14.941085815429688
CORDEX-EUR11,RCA4,r1i1p1,-3.6779961585998535
CORDEX-EUR11,REMO2009,r1i1p1,-6.239132881164551
CORDEX-EUR11,REMO2015,r3i1p1,-8.848346710205078
CORDEX-EUR11,ALADIN63,r1i1p1,-23.316850662231445
CORDEX-EUR11,HIRHAM5,r1i1p1,-14.07529067993164
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,3.7069876194000244
CORDEX-EUR11,RACMO22E,r1i1p1,0.3233770430088043
CORDEX-EUR11,RCA4,r1i1p1,-14.75246810913086
CORDEX-EUR11,REMO2015,r1i1p1,0.7954422235488892
UKCP-GCM,land-gcm,01,-2.4300532421679044
UKCP-GCM,land-gcm,02,-38.58389107169186
UKCP-GCM,land-gcm,03,-34.172674710276134
UKCP-GCM,land-gcm,04,-16.759627964865125
UKCP-GCM,land-gcm,05,-29.52505019749606
UKCP-GCM,land-gcm,06,-46.03649721482958
UKCP-GCM,land-gcm,07,-12.38779893827789
UKCP-GCM,land-gcm,8,-35.062393245902136
UKCP-GCM,land-gcm,9,-36.088233714471315
UKCP-GCM,land-gcm,10,-39.66201902376601
UKCP-GCM,land-gcm,11,-22.979348614897585
UKCP-GCM,land-gcm,12,-15.052093980833591
UKCP-GCM,land-gcm,13,-26.367482136704183
UKCP-GCM,land-gcm,14,-45.722907255476166
UKCP-GCM,land-gcm,15,-23.49070763747025
UKCP-RCM,land-rcm,01,0.9013612075429975
UKCP-RCM,land-rcm,04,-12.238074146129229
UKCP-RCM,land-rcm,05,-15.412611244254167
UKCP-RCM,land-rcm,06,-45.176033229400275
UKCP-RCM,land-rcm,07,-9.719357867778113
UKCP-RCM,land-rcm,8,-11.42334850814137
UKCP-RCM,land-rcm,9,-30.364372236474544
UKCP-RCM,land-rcm,10,-33.31471943347288
UKCP-RCM,land-rcm,11,-24.445150350471394
UKCP-RCM,land-rcm,12,-22.057768443934123
UKCP-RCM,land-rcm,13,-26.264891045937834
UKCP-RCM,land-rcm,15,-13.603243728198638
