project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,21.923097610473633
CMIP5,ACCESS1-3,r1i1p1,13.962605476379395
CMIP5,BNU-ESM,r1i1p1,10.07279109954834
CMIP5,CCSM4,r1i1p1,-5.17744779586792
CMIP5,CESM1-BGC,r1i1p1,-12.717361450195312
CMIP5,CESM1-CAM5,r1i1p1,34.485595703125
CMIP5,CMCC-CESM,r1i1p1,22.37249183654785
CMIP5,CMCC-CMS,r1i1p1,-13.530937194824219
CMIP5,CMCC-CM,r1i1p1,16.35688018798828
CMIP5,CNRM-CM5,r1i1p1,6.182218074798584
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-4.81278133392334
CMIP5,CanESM2,r1i1p1,18.42397117614746
CMIP5,EC-EARTH,r1i1p1,6.133942127227783
CMIP5,FGOALS-g2,r1i1p1,16.550378799438477
CMIP5,FIO-ESM,r1i1p1,-2.8557791709899902
CMIP5,GFDL-CM3,r1i1p1,2.84494686126709
CMIP5,GFDL-ESM2G,r1i1p1,-20.107812881469727
CMIP5,GISS-E2-H,r1i1p1,0.8254895210266113
CMIP5,GISS-E2-R,r1i1p1,10.752097129821777
CMIP5,HadGEM2-CC,r1i1p1,-5.216644763946533
CMIP5,HadGEM2-ES,r1i1p1,-4.212799072265625
CMIP5,IPSL-CM5A-LR,r1i1p1,-16.529333114624023
CMIP5,IPSL-CM5A-MR,r1i1p1,-0.26629602909088135
CMIP5,IPSL-CM5B-LR,r1i1p1,-1.8716702461242676
CMIP5,MIROC-ESM-CHEM,r1i1p1,-5.083401679992676
CMIP5,MIROC-ESM,r1i1p1,-10.03541088104248
CMIP5,MIROC5,r1i1p1,19.70578384399414
CMIP5,MPI-ESM-LR,r1i1p1,-8.997846603393555
CMIP5,MPI-ESM-MR,r1i1p1,-0.4901805520057678
CMIP5,MRI-CGCM3,r1i1p1,3.5586726665496826
CMIP5,NorESM1-ME,r1i1p1,-9.351338386535645
CMIP5,NorESM1-M,r1i1p1,-3.4041085243225098
CMIP5,bcc-csm1-1-m,r1i1p1,-0.9558088183403015
CMIP5,bcc-csm1-1,r1i1p1,-5.070191383361816
CMIP5,inmcm4,r1i1p1,-7.52576208114624
CMIP6,ACCESS-CM2,r1i1p1f1,13.622905731201172
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-2.5931293964385986
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,16.080537796020508
CMIP6,BCC-CSM2-MR,r1i1p1f1,5.580334186553955
CMIP6,CAMS-CSM1-0,r1i1p1f1,9.646442413330078
CMIP6,CESM2-WACCM,r1i1p1f1,5.320075988769531
CMIP6,CMCC-CM2-SR5,r1i1p1f1,18.044126510620117
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,13.18006706237793
CMIP6,CNRM-CM6-1,r1i1p1f2,8.829777717590332
CMIP6,CNRM-ESM2-1,r1i1p1f2,6.621494770050049
CMIP6,CanESM5-CanOE,r1i1p2f1,4.6648969650268555
CMIP6,CanESM5,r1i1p1f1,22.169343948364258
CMIP6,E3SM-1-1,r1i1p1f1,-6.14397668838501
CMIP6,EC-Earth3-Veg,r1i1p1f1,11.813873291015625
CMIP6,FGOALS-f3-L,r1i1p1f1,2.268977403640747
CMIP6,FGOALS-g3,r1i1p1f1,-7.564639091491699
CMIP6,FIO-ESM-2-0,r1i1p1f1,7.4849934577941895
CMIP6,GFDL-CM4,r1i1p1f1,2.6762402057647705
CMIP6,GFDL-ESM4,r1i1p1f1,-0.28312671184539795
CMIP6,GISS-E2-1-G,r1i1p1f2,18.048423767089844
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,11.776848793029785
CMIP6,INM-CM4-8,r1i1p1f1,-13.656024932861328
CMIP6,INM-CM5-0,r1i1p1f1,16.824644088745117
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-5.369974613189697
CMIP6,KACE-1-0-G,r1i1p1f1,-8.311500549316406
CMIP6,MIROC-ES2L,r1i1p1f2,-12.968440055847168
CMIP6,MIROC6,r1i1p1f1,-12.299097061157227
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,11.223587989807129
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,12.316408157348633
CMIP6,MRI-ESM2-0,r1i1p1f1,-0.30612707138061523
CMIP6,NESM3,r1i1p1f1,-3.1241328716278076
CMIP6,NorESM2-LM,r1i1p1f1,-15.658001899719238
CMIP6,NorESM2-MM,r1i1p1f1,2.155802011489868
CMIP6,TaiESM1,r1i1p1f1,-0.7339321374893188
CMIP6,UKESM1-0-LL,r1i1p1f2,-3.234403133392334
cordex_cpm,CNRM-AROME41t1,r1i1p1,1.5051441192626953
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-21.75328826904297
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-16.76712417602539
cordex_cpm,GERICS-REMO2015,r1i1p1,-1.210549235343933
cordex_cpm,COSMO-pompa,r1i1p1,-4.255950927734375
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,8.832983016967773
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,4.4983062744140625
CORDEX-EUR11,ALADIN53,r1i1p1,13.937423706054688
CORDEX-EUR11,ALADIN63,r1i1p1,-1.506596565246582
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-0.6328881978988647
CORDEX-EUR11,HIRHAM5,r1i1p1,-1.3781702518463135
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,3.319854259490967
CORDEX-EUR11,RACMO22E,r1i1p1,2.330742359161377
CORDEX-EUR11,RCA4,r1i1p1,7.322131633758545
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-15.806706428527832
CORDEX-EUR11,HIRHAM5,r3i1p1,13.51494312286377
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-14.328872680664062
CORDEX-EUR11,RACMO22E,r12i1p1,-15.096902847290039
CORDEX-EUR11,RCA4,r12i1p1,-12.709932327270508
CORDEX-EUR11,RCA4,r1i1p1,6.5981292724609375
CORDEX-EUR11,ALADIN63,r1i1p1,14.83436107635498
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-0.19610293209552765
CORDEX-EUR11,HIRHAM5,r1i1p1,-8.326717376708984
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-1.095220685005188
CORDEX-EUR11,RACMO22E,r1i1p1,-3.818235158920288
CORDEX-EUR11,RCA4,r1i1p1,-3.153571128845215
CORDEX-EUR11,RegCM4-6,r1i1p1,-10.249212265014648
CORDEX-EUR11,ALADIN63,r1i1p1,5.232494354248047
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-2.1739754676818848
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-5.503786087036133
CORDEX-EUR11,RCA4,r1i1p1,-0.8863468766212463
CORDEX-EUR11,REMO2009,r1i1p1,2.741790294647217
CORDEX-EUR11,REMO2015,r3i1p1,1.1131978034973145
CORDEX-EUR11,ALADIN63,r1i1p1,1.4361356496810913
CORDEX-EUR11,HIRHAM5,r1i1p1,-1.219874382019043
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,10.047093391418457
CORDEX-EUR11,RACMO22E,r1i1p1,4.412678241729736
CORDEX-EUR11,RCA4,r1i1p1,2.7614848613739014
CORDEX-EUR11,REMO2015,r1i1p1,20.744518280029297
UKCP-GCM,land-gcm,01,-1.1412764532188389
UKCP-GCM,land-gcm,02,-7.068163244942746
UKCP-GCM,land-gcm,03,10.527072192378185
UKCP-GCM,land-gcm,04,8.730153359797914
UKCP-GCM,land-gcm,05,-9.67046311637103
UKCP-GCM,land-gcm,06,0.5328457359545486
UKCP-GCM,land-gcm,07,0.595411750335332
