project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-4.823538303375244
CMIP5,ACCESS1-3,r1i1p1,8.559883117675781
CMIP5,BNU-ESM,r1i1p1,-2.5771961212158203
CMIP5,CCSM4,r1i1p1,-3.9811019897460938
CMIP5,CESM1-BGC,r1i1p1,-0.2884259819984436
CMIP5,CESM1-CAM5,r1i1p1,9.7832670211792
CMIP5,CMCC-CESM,r1i1p1,-3.2520809173583984
CMIP5,CMCC-CMS,r1i1p1,-14.936907768249512
CMIP5,CMCC-CM,r1i1p1,3.1313016414642334
CMIP5,CNRM-CM5,r1i1p1,10.858020782470703
CMIP5,CSIRO-Mk3-6-0,r1i1p1,14.424179077148438
CMIP5,CanESM2,r1i1p1,2.4427640438079834
CMIP5,EC-EARTH,r1i1p1,-0.8642808794975281
CMIP5,FGOALS-g2,r1i1p1,4.307883262634277
CMIP5,FIO-ESM,r1i1p1,4.248244762420654
CMIP5,GFDL-CM3,r1i1p1,-17.8167724609375
CMIP5,GFDL-ESM2G,r1i1p1,8.215017318725586
CMIP5,GISS-E2-H,r1i1p1,-7.931896209716797
CMIP5,GISS-E2-R,r1i1p1,-1.8093394041061401
CMIP5,HadGEM2-CC,r1i1p1,10.25244426727295
CMIP5,HadGEM2-ES,r1i1p1,13.053007125854492
CMIP5,IPSL-CM5A-LR,r1i1p1,5.195014953613281
CMIP5,IPSL-CM5A-MR,r1i1p1,-21.62723159790039
CMIP5,IPSL-CM5B-LR,r1i1p1,12.090210914611816
CMIP5,MIROC-ESM-CHEM,r1i1p1,-3.80096697807312
CMIP5,MIROC-ESM,r1i1p1,8.20694351196289
CMIP5,MIROC5,r1i1p1,0.5927205681800842
CMIP5,MPI-ESM-LR,r1i1p1,9.254903793334961
CMIP5,MPI-ESM-MR,r1i1p1,-2.9107794761657715
CMIP5,MRI-CGCM3,r1i1p1,0.32024845480918884
CMIP5,NorESM1-ME,r1i1p1,-3.4175679683685303
CMIP5,NorESM1-M,r1i1p1,-12.235934257507324
CMIP5,bcc-csm1-1-m,r1i1p1,-9.224045753479004
CMIP5,bcc-csm1-1,r1i1p1,-10.952548027038574
CMIP5,inmcm4,r1i1p1,4.445209980010986
CMIP6,ACCESS-CM2,r1i1p1f1,-1.1269181966781616
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-30.181228637695312
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,1.768167495727539
CMIP6,BCC-CSM2-MR,r1i1p1f1,-9.931517601013184
CMIP6,CAMS-CSM1-0,r1i1p1f1,11.20900821685791
CMIP6,CESM2-WACCM,r1i1p1f1,12.188395500183105
CMIP6,CMCC-CM2-SR5,r1i1p1f1,3.746469736099243
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-10.068314552307129
CMIP6,CNRM-CM6-1,r1i1p1f2,4.010365009307861
CMIP6,CNRM-ESM2-1,r1i1p1f2,-0.7685874700546265
CMIP6,CanESM5-CanOE,r1i1p2f1,4.960814476013184
CMIP6,CanESM5,r1i1p1f1,8.70386791229248
CMIP6,E3SM-1-1,r1i1p1f1,26.0490779876709
CMIP6,EC-Earth3-Veg,r1i1p1f1,0.7014339566230774
CMIP6,FGOALS-f3-L,r1i1p1f1,-3.093677520751953
CMIP6,FGOALS-g3,r1i1p1f1,6.948853969573975
CMIP6,FIO-ESM-2-0,r1i1p1f1,4.1687541007995605
CMIP6,GFDL-CM4,r1i1p1f1,18.006818771362305
CMIP6,GFDL-ESM4,r1i1p1f1,0.8764838576316833
CMIP6,GISS-E2-1-G,r1i1p1f2,2.3800039291381836
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-17.131074905395508
CMIP6,INM-CM4-8,r1i1p1f1,-4.340141773223877
CMIP6,INM-CM5-0,r1i1p1f1,-16.048254013061523
CMIP6,IPSL-CM6A-LR,r1i1p1f1,0.4331425726413727
CMIP6,KACE-1-0-G,r1i1p1f1,-2.927319049835205
CMIP6,MIROC-ES2L,r1i1p1f2,1.759806513786316
CMIP6,MIROC6,r1i1p1f1,7.118902206420898
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-6.179914951324463
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-4.538407325744629
CMIP6,MRI-ESM2-0,r1i1p1f1,6.1095147132873535
CMIP6,NESM3,r1i1p1f1,-8.923879623413086
CMIP6,NorESM2-LM,r1i1p1f1,8.839653015136719
CMIP6,NorESM2-MM,r1i1p1f1,-1.7235925197601318
CMIP6,TaiESM1,r1i1p1f1,2.618497371673584
CMIP6,UKESM1-0-LL,r1i1p1f2,-11.310542106628418
cordex_cpm,CNRM-AROME41t1,r1i1p1,1.803096055984497
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,16.470718383789062
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,18.331274032592773
cordex_cpm,GERICS-REMO2015,r1i1p1,-26.99614715576172
cordex_cpm,COSMO-pompa,r1i1p1,5.300592422485352
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,27.530500411987305
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,15.760533332824707
CORDEX-EUR11,ALADIN53,r1i1p1,20.536359786987305
CORDEX-EUR11,ALADIN63,r1i1p1,5.699534893035889
CORDEX-EUR11,CCLM4-8-17,r1i1p1,19.88648223876953
CORDEX-EUR11,HIRHAM5,r1i1p1,-5.687044143676758
