project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-11.303667068481445
CMIP5,ACCESS1-3,r1i1p1,-5.712218284606934
CMIP5,BNU-ESM,r1i1p1,6.3186936378479
CMIP5,CCSM4,r1i1p1,-1.4752371311187744
CMIP5,CESM1-BGC,r1i1p1,-6.362136363983154
CMIP5,CESM1-CAM5,r1i1p1,8.96147346496582
CMIP5,CMCC-CESM,r1i1p1,-19.79426383972168
CMIP5,CMCC-CMS,r1i1p1,1.9446197748184204
CMIP5,CMCC-CM,r1i1p1,13.598725318908691
CMIP5,CNRM-CM5,r1i1p1,22.856430053710938
CMIP5,CSIRO-Mk3-6-0,r1i1p1,0.08468469232320786
CMIP5,CanESM2,r1i1p1,3.55460524559021
CMIP5,EC-EARTH,r1i1p1,-1.9713560342788696
CMIP5,FGOALS-g2,r1i1p1,8.904595375061035
CMIP5,FIO-ESM,r1i1p1,-16.781831741333008
CMIP5,GFDL-CM3,r1i1p1,-2.139120101928711
CMIP5,GFDL-ESM2G,r1i1p1,-3.9272897243499756
CMIP5,GISS-E2-H,r1i1p1,9.749639511108398
CMIP5,GISS-E2-R,r1i1p1,8.47787857055664
CMIP5,HadGEM2-CC,r1i1p1,-5.090867042541504
CMIP5,HadGEM2-ES,r1i1p1,18.110458374023438
CMIP5,IPSL-CM5A-LR,r1i1p1,3.429250717163086
CMIP5,IPSL-CM5A-MR,r1i1p1,7.4073486328125
CMIP5,IPSL-CM5B-LR,r1i1p1,-8.81923770904541
CMIP5,MIROC-ESM-CHEM,r1i1p1,-7.440406799316406
CMIP5,MIROC-ESM,r1i1p1,-14.377337455749512
CMIP5,MIROC5,r1i1p1,-12.888418197631836
CMIP5,MPI-ESM-LR,r1i1p1,-1.4983677864074707
CMIP5,MPI-ESM-MR,r1i1p1,-4.735761642456055
CMIP5,MRI-CGCM3,r1i1p1,27.42569351196289
CMIP5,NorESM1-ME,r1i1p1,-4.747003555297852
CMIP5,NorESM1-M,r1i1p1,-4.7893757820129395
CMIP5,bcc-csm1-1-m,r1i1p1,-5.745378017425537
CMIP5,bcc-csm1-1,r1i1p1,-6.458328723907471
