project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-4.797718524932861
CMIP5,ACCESS1-3,r1i1p1,3.5107955932617188
CMIP5,BNU-ESM,r1i1p1,-3.792113780975342
CMIP5,CCSM4,r1i1p1,-13.376980781555176
CMIP5,CESM1-BGC,r1i1p1,7.731829643249512
CMIP5,CESM1-CAM5,r1i1p1,15.525934219360352
CMIP5,CMCC-CESM,r1i1p1,-32.60480880737305
CMIP5,CMCC-CMS,r1i1p1,-6.969507694244385
CMIP5,CMCC-CM,r1i1p1,-29.22634506225586
CMIP5,CNRM-CM5,r1i1p1,4.742682933807373
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-15.257647514343262
CMIP5,CanESM2,r1i1p1,-29.44520378112793
CMIP5,EC-EARTH,r1i1p1,-11.228678703308105
CMIP5,FGOALS-g2,r1i1p1,-19.585826873779297
CMIP5,FIO-ESM,r1i1p1,-13.763710975646973
CMIP5,GFDL-CM3,r1i1p1,-4.377538681030273
CMIP5,GFDL-ESM2G,r1i1p1,-17.28911018371582
CMIP5,GISS-E2-H,r1i1p1,-9.958165168762207
CMIP5,GISS-E2-R,r1i1p1,-20.617097854614258
CMIP5,HadGEM2-CC,r1i1p1,-22.319313049316406
CMIP5,HadGEM2-ES,r1i1p1,-12.012192726135254
CMIP5,IPSL-CM5A-LR,r1i1p1,-9.348541259765625
CMIP5,IPSL-CM5A-MR,r1i1p1,-14.753094673156738
CMIP5,IPSL-CM5B-LR,r1i1p1,-2.8318870067596436
CMIP5,MIROC-ESM-CHEM,r1i1p1,-23.225025177001953
CMIP5,MIROC-ESM,r1i1p1,-2.116065263748169
CMIP5,MIROC5,r1i1p1,-7.189738750457764
CMIP5,MPI-ESM-LR,r1i1p1,-21.68135643005371
CMIP5,MPI-ESM-MR,r1i1p1,-34.954795837402344
CMIP5,MRI-CGCM3,r1i1p1,11.46298885345459
CMIP5,NorESM1-ME,r1i1p1,-12.666254997253418
CMIP5,NorESM1-M,r1i1p1,0.7367211580276489
CMIP5,bcc-csm1-1-m,r1i1p1,-17.81047248840332
CMIP5,bcc-csm1-1,r1i1p1,-14.659502983093262
CMIP5,inmcm4,r1i1p1,-40.14653778076172
CMIP6,ACCESS-CM2,r1i1p1f1,-4.74641227722168
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-27.987855911254883
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-31.773611068725586
CMIP6,BCC-CSM2-MR,r1i1p1f1,-9.316488265991211
CMIP6,CAMS-CSM1-0,r1i1p1f1,4.734935760498047
CMIP6,CESM2-WACCM,r1i1p1f1,-18.50962257385254
CMIP6,CMCC-CM2-SR5,r1i1p1f1,22.775588989257812
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-6.325128555297852
CMIP6,CNRM-CM6-1,r1i1p1f2,-35.28693771362305
CMIP6,CNRM-ESM2-1,r1i1p1f2,-31.962135314941406
CMIP6,CanESM5-CanOE,r1i1p2f1,-12.082000732421875
CMIP6,CanESM5,r1i1p1f1,19.686790466308594
CMIP6,E3SM-1-1,r1i1p1f1,3.7972025871276855
CMIP6,EC-Earth3-Veg,r1i1p1f1,3.6930508613586426
CMIP6,FGOALS-f3-L,r1i1p1f1,-10.036473274230957
CMIP6,FGOALS-g3,r1i1p1f1,-21.071260452270508
CMIP6,FIO-ESM-2-0,r1i1p1f1,-17.749679565429688
CMIP6,GFDL-CM4,r1i1p1f1,-22.96575164794922
CMIP6,GFDL-ESM4,r1i1p1f1,-0.9876137375831604
CMIP6,GISS-E2-1-G,r1i1p1f2,-7.8767828941345215
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-18.418058395385742
CMIP6,INM-CM4-8,r1i1p1f1,-6.264347553253174
CMIP6,INM-CM5-0,r1i1p1f1,-8.894189834594727
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-11.079743385314941
CMIP6,KACE-1-0-G,r1i1p1f1,8.614057540893555
CMIP6,MIROC-ES2L,r1i1p1f2,-2.4286437034606934
CMIP6,MIROC6,r1i1p1f1,-4.094820499420166
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-21.4730281829834
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-34.74000549316406
CMIP6,MRI-ESM2-0,r1i1p1f1,-8.666308403015137
CMIP6,NESM3,r1i1p1f1,-37.58116149902344
CMIP6,NorESM2-LM,r1i1p1f1,-17.63472557067871
CMIP6,NorESM2-MM,r1i1p1f1,-8.418339729309082
CMIP6,TaiESM1,r1i1p1f1,-9.352686882019043
CMIP6,UKESM1-0-LL,r1i1p1f2,-29.589012145996094
cordex_cpm,CNRM-AROME41t1,r1i1p1,6.045574188232422
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-13.970151901245117
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-16.978307723999023
cordex_cpm,GERICS-REMO2015,r1i1p1,-20.765968322753906
cordex_cpm,COSMO-pompa,r1i1p1,-16.76575469970703
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-29.729196548461914
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,6.135648727416992
CORDEX-EUR11,ALADIN53,r1i1p1,14.473731994628906
CORDEX-EUR11,ALADIN63,r1i1p1,4.985743522644043
CORDEX-EUR11,CCLM4-8-17,r1i1p1,7.26542854309082
CORDEX-EUR11,HIRHAM5,r1i1p1,43.28377151489258
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-16.921127319335938
CORDEX-EUR11,RACMO22E,r1i1p1,14.5731840133667
CORDEX-EUR11,RCA4,r1i1p1,10.61594295501709
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-31.042173385620117
CORDEX-EUR11,HIRHAM5,r3i1p1,-14.412652015686035
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-11.111444473266602
CORDEX-EUR11,RACMO22E,r12i1p1,-11.617234230041504
CORDEX-EUR11,RCA4,r12i1p1,-27.888511657714844
CORDEX-EUR11,RCA4,r1i1p1,-5.623142719268799
CORDEX-EUR11,ALADIN63,r1i1p1,-16.132692337036133
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-30.305973052978516
CORDEX-EUR11,HIRHAM5,r1i1p1,-18.040571212768555
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-19.968687057495117
CORDEX-EUR11,RACMO22E,r1i1p1,2.8098323345184326
CORDEX-EUR11,RCA4,r1i1p1,-15.69662857055664
CORDEX-EUR11,RegCM4-6,r1i1p1,-19.0804443359375
CORDEX-EUR11,ALADIN63,r1i1p1,-38.21413803100586
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-3.3229899406433105
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-43.9425048828125
CORDEX-EUR11,RCA4,r1i1p1,-33.103363037109375
CORDEX-EUR11,REMO2009,r1i1p1,-19.149742126464844
CORDEX-EUR11,REMO2015,r3i1p1,-5.659311294555664
CORDEX-EUR11,ALADIN63,r1i1p1,-19.866744995117188
CORDEX-EUR11,HIRHAM5,r1i1p1,4.66472864151001
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,0.5762264132499695
CORDEX-EUR11,RACMO22E,r1i1p1,-5.720191955566406
CORDEX-EUR11,RCA4,r1i1p1,2.7690236568450928
CORDEX-EUR11,REMO2015,r1i1p1,-13.743956565856934
UKCP-GCM,land-gcm,01,-23.265543373060886
UKCP-GCM,land-gcm,02,-55.75795640447667
UKCP-GCM,land-gcm,03,-33.61990532525093
UKCP-GCM,land-gcm,04,-46.546194350815654
UKCP-GCM,land-gcm,05,-16.34394504731973
UKCP-GCM,land-gcm,06,-65.2155333671367
UKCP-GCM,land-gcm,07,-27.697225851454675
UKCP-GCM,land-gcm,8,-53.53974595592956
UKCP-GCM,land-gcm,9,-17.371634849732352
UKCP-GCM,land-gcm,10,-49.279353567570176
UKCP-GCM,land-gcm,11,-7.285671116461373
UKCP-GCM,land-gcm,12,-18.599843276547073
UKCP-GCM,land-gcm,13,14.527858407854843
UKCP-GCM,land-gcm,14,-55.569672883540086
UKCP-GCM,land-gcm,15,-8.579272141484074
UKCP-RCM,land-rcm,01,2.7193945719926846
UKCP-RCM,land-rcm,04,-36.77230884674967
UKCP-RCM,land-rcm,05,-4.456638154307156
UKCP-RCM,land-rcm,06,-54.58961850151586
UKCP-RCM,land-rcm,07,-2.4323727636268155
UKCP-RCM,land-rcm,8,-33.89730267105641
UKCP-RCM,land-rcm,9,-26.101370755949304
UKCP-RCM,land-rcm,10,-46.72301048601369
UKCP-RCM,land-rcm,11,-15.905752703759804
UKCP-RCM,land-rcm,12,9.422067860610184
UKCP-RCM,land-rcm,13,-9.879283671253727
UKCP-RCM,land-rcm,15,-19.71015743306532
