project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,4.3266777992248535
CMIP5,ACCESS1-3,r1i1p1,13.105219841003418
CMIP5,BNU-ESM,r1i1p1,13.5208740234375
CMIP5,CCSM4,r1i1p1,3.430603504180908
CMIP5,CESM1-BGC,r1i1p1,-8.311229705810547
CMIP5,CESM1-CAM5,r1i1p1,20.86920928955078
CMIP5,CMCC-CESM,r1i1p1,-8.458721160888672
CMIP5,CMCC-CMS,r1i1p1,5.395835876464844
CMIP5,CMCC-CM,r1i1p1,-4.917623996734619
CMIP5,CNRM-CM5,r1i1p1,-7.3289899826049805
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-4.6857829093933105
CMIP5,CanESM2,r1i1p1,12.420317649841309
CMIP5,EC-EARTH,r1i1p1,6.1297807693481445
CMIP5,FGOALS-g2,r1i1p1,-4.9345526695251465
CMIP5,FIO-ESM,r1i1p1,-12.906829833984375
CMIP5,GFDL-CM3,r1i1p1,-0.4830925166606903
CMIP5,GFDL-ESM2G,r1i1p1,-6.548399448394775
CMIP5,GISS-E2-H,r1i1p1,-6.055714130401611
CMIP5,GISS-E2-R,r1i1p1,3.3953256607055664
CMIP5,HadGEM2-CC,r1i1p1,10.692117691040039
CMIP5,HadGEM2-ES,r1i1p1,0.09664522111415863
CMIP5,IPSL-CM5A-LR,r1i1p1,2.261601686477661
CMIP5,IPSL-CM5A-MR,r1i1p1,-18.53704261779785
CMIP5,IPSL-CM5B-LR,r1i1p1,-4.518204689025879
CMIP5,MIROC-ESM-CHEM,r1i1p1,-5.940593242645264
CMIP5,MIROC-ESM,r1i1p1,-17.379314422607422
CMIP5,MIROC5,r1i1p1,12.776220321655273
CMIP5,MPI-ESM-LR,r1i1p1,-19.835180282592773
CMIP5,MPI-ESM-MR,r1i1p1,-0.3881640136241913
CMIP5,MRI-CGCM3,r1i1p1,-1.856162190437317
CMIP5,NorESM1-ME,r1i1p1,-6.735162258148193
CMIP5,NorESM1-M,r1i1p1,-8.729011535644531
CMIP5,bcc-csm1-1-m,r1i1p1,-4.807697772979736
CMIP5,bcc-csm1-1,r1i1p1,-1.773438811302185
CMIP5,inmcm4,r1i1p1,-17.914525985717773
CMIP6,ACCESS-CM2,r1i1p1f1,23.30815887451172
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-12.00302505493164
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-0.34326788783073425
CMIP6,BCC-CSM2-MR,r1i1p1f1,9.657282829284668
CMIP6,CAMS-CSM1-0,r1i1p1f1,-13.98640251159668
CMIP6,CESM2-WACCM,r1i1p1f1,-12.90298080444336
CMIP6,CMCC-CM2-SR5,r1i1p1f1,9.871575355529785
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-2.2522659301757812
CMIP6,CNRM-CM6-1,r1i1p1f2,-13.944832801818848
CMIP6,CNRM-ESM2-1,r1i1p1f2,-7.5287699699401855
CMIP6,CanESM5-CanOE,r1i1p2f1,37.711368560791016
CMIP6,CanESM5,r1i1p1f1,6.1783857345581055
CMIP6,E3SM-1-1,r1i1p1f1,-12.228863716125488
