project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,4.221843719482422
CMIP5,ACCESS1-3,r1i1p1,0.5294845700263977
CMIP5,BNU-ESM,r1i1p1,-17.30855941772461
CMIP5,CCSM4,r1i1p1,16.598188400268555
CMIP5,CESM1-BGC,r1i1p1,-21.816326141357422
CMIP5,CESM1-CAM5,r1i1p1,4.018989086151123
CMIP5,CMCC-CESM,r1i1p1,-12.684516906738281
CMIP5,CMCC-CMS,r1i1p1,-13.164682388305664
CMIP5,CMCC-CM,r1i1p1,14.173308372497559
CMIP5,CNRM-CM5,r1i1p1,40.68353271484375
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-2.8315341472625732
CMIP5,CanESM2,r1i1p1,-5.952394485473633
CMIP5,EC-EARTH,r1i1p1,7.345904350280762
CMIP5,FGOALS-g2,r1i1p1,3.34480881690979
CMIP5,FIO-ESM,r1i1p1,-3.5786538124084473
CMIP5,GFDL-CM3,r1i1p1,-18.693496704101562
CMIP5,GFDL-ESM2G,r1i1p1,12.059003829956055
CMIP5,GISS-E2-H,r1i1p1,-27.1503963470459
CMIP5,GISS-E2-R,r1i1p1,-14.184586524963379
CMIP5,HadGEM2-CC,r1i1p1,18.89411735534668
CMIP5,HadGEM2-ES,r1i1p1,-9.71523666381836
CMIP5,IPSL-CM5A-LR,r1i1p1,6.462434768676758
CMIP5,IPSL-CM5A-MR,r1i1p1,-3.782423973083496
CMIP5,IPSL-CM5B-LR,r1i1p1,16.324186325073242
CMIP5,MIROC-ESM-CHEM,r1i1p1,7.097269058227539
CMIP5,MIROC-ESM,r1i1p1,23.259267807006836
CMIP5,MIROC5,r1i1p1,2.470871925354004
CMIP5,MPI-ESM-LR,r1i1p1,23.53050422668457
CMIP5,MPI-ESM-MR,r1i1p1,-4.5023722648620605
CMIP5,MRI-CGCM3,r1i1p1,-5.556347370147705
CMIP5,NorESM1-ME,r1i1p1,3.0640275478363037
CMIP5,NorESM1-M,r1i1p1,-18.674341201782227
CMIP5,bcc-csm1-1-m,r1i1p1,10.194914817810059
CMIP5,bcc-csm1-1,r1i1p1,0.6194071769714355
CMIP5,inmcm4,r1i1p1,9.7913818359375
CMIP6,ACCESS-CM2,r1i1p1f1,-3.6560614109039307
CMIP6,ACCESS-ESM1-5,r1i1p1f1,3.287367820739746
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-7.171519756317139
CMIP6,BCC-CSM2-MR,r1i1p1f1,16.17692756652832
CMIP6,CAMS-CSM1-0,r1i1p1f1,14.609540939331055
CMIP6,CESM2-WACCM,r1i1p1f1,21.719547271728516
CMIP6,CMCC-CM2-SR5,r1i1p1f1,4.832093238830566
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-24.976451873779297
CMIP6,CNRM-CM6-1,r1i1p1f2,-6.360304355621338
CMIP6,CNRM-ESM2-1,r1i1p1f2,-6.34359884262085
CMIP6,CanESM5-CanOE,r1i1p2f1,-9.666679382324219
CMIP6,CanESM5,r1i1p1f1,7.813497066497803
CMIP6,E3SM-1-1,r1i1p1f1,14.831633567810059
CMIP6,EC-Earth3-Veg,r1i1p1f1,-4.069630146026611
CMIP6,FGOALS-f3-L,r1i1p1f1,-12.669187545776367
CMIP6,FGOALS-g3,r1i1p1f1,0.9146707057952881
CMIP6,FIO-ESM-2-0,r1i1p1f1,-3.846606969833374
CMIP6,GFDL-CM4,r1i1p1f1,1.2345219850540161
CMIP6,GFDL-ESM4,r1i1p1f1,3.9448049068450928
CMIP6,GISS-E2-1-G,r1i1p1f2,-16.55677604675293
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-11.628885269165039
CMIP6,INM-CM4-8,r1i1p1f1,-19.920196533203125
CMIP6,INM-CM5-0,r1i1p1f1,-8.556354522705078
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-0.7100751399993896
CMIP6,KACE-1-0-G,r1i1p1f1,7.15879487991333
CMIP6,MIROC-ES2L,r1i1p1f2,-11.316781044006348
CMIP6,MIROC6,r1i1p1f1,-14.774422645568848
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,28.997283935546875
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-6.782069206237793
CMIP6,MRI-ESM2-0,r1i1p1f1,13.362306594848633
CMIP6,NESM3,r1i1p1f1,-27.955081939697266
CMIP6,NorESM2-LM,r1i1p1f1,19.184675216674805
CMIP6,NorESM2-MM,r1i1p1f1,-2.638401746749878
CMIP6,TaiESM1,r1i1p1f1,18.602096557617188
CMIP6,UKESM1-0-LL,r1i1p1f2,3.240176200866699
cordex_cpm,CNRM-AROME41t1,r1i1p1,13.768482208251953
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,41.39088821411133
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,32.06503677368164
cordex_cpm,GERICS-REMO2015,r1i1p1,-20.172258377075195
cordex_cpm,COSMO-pompa,r1i1p1,20.15991973876953
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-17.247177124023438
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,2.470301389694214
CORDEX-EUR11,ALADIN53,r1i1p1,2.008420705795288
CORDEX-EUR11,ALADIN63,r1i1p1,16.18144416809082
CORDEX-EUR11,CCLM4-8-17,r1i1p1,8.63833236694336
CORDEX-EUR11,HIRHAM5,r1i1p1,28.9215087890625
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,13.353652000427246
CORDEX-EUR11,RACMO22E,r1i1p1,24.234142303466797
CORDEX-EUR11,RCA4,r1i1p1,1.1368788480758667
CORDEX-EUR11,CCLM4-8-17,r12i1p1,41.84010314941406
CORDEX-EUR11,HIRHAM5,r3i1p1,-8.473179817199707
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,48.841522216796875
CORDEX-EUR11,RACMO22E,r12i1p1,26.154878616333008
CORDEX-EUR11,RCA4,r12i1p1,23.537708282470703
CORDEX-EUR11,RCA4,r1i1p1,-16.772964477539062
CORDEX-EUR11,ALADIN63,r1i1p1,3.800814628601074
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-17.23389434814453
CORDEX-EUR11,HIRHAM5,r1i1p1,3.6634867191314697
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,7.6745381355285645
CORDEX-EUR11,RACMO22E,r1i1p1,-4.881363391876221
CORDEX-EUR11,RCA4,r1i1p1,2.418271541595459
CORDEX-EUR11,RegCM4-6,r1i1p1,1.0786086320877075
CORDEX-EUR11,ALADIN63,r1i1p1,13.70818042755127
CORDEX-EUR11,CCLM4-8-17,r1i1p1,29.33543586730957
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,15.775375366210938
CORDEX-EUR11,RCA4,r1i1p1,21.904335021972656
CORDEX-EUR11,REMO2009,r1i1p1,37.03056716918945
CORDEX-EUR11,REMO2015,r3i1p1,-25.99344253540039
CORDEX-EUR11,ALADIN63,r1i1p1,-7.262925624847412
CORDEX-EUR11,HIRHAM5,r1i1p1,-9.091894149780273
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,4.7732157707214355
CORDEX-EUR11,RACMO22E,r1i1p1,-12.000925064086914
CORDEX-EUR11,RCA4,r1i1p1,-7.552243232727051
CORDEX-EUR11,REMO2015,r1i1p1,-12.649372100830078
UKCP-GCM,land-gcm,01,-14.259850152186115
UKCP-GCM,land-gcm,02,-21.91379993762182
UKCP-GCM,land-gcm,03,3.439861431599306
UKCP-GCM,land-gcm,04,1.1096682414150034
UKCP-GCM,land-gcm,05,-5.504842695645302
UKCP-GCM,land-gcm,06,-5.183983842241199
UKCP-GCM,land-gcm,07,-32.51902640494548
UKCP-GCM,land-gcm,8,-10.618699582749153
UKCP-GCM,land-gcm,9,-34.75075497911191
UKCP-GCM,land-gcm,10,0.9877040276340368
UKCP-GCM,land-gcm,11,7.252262333847506
UKCP-GCM,land-gcm,12,6.128590348321713
UKCP-GCM,land-gcm,13,1.1423145677574384
UKCP-GCM,land-gcm,14,-24.627183193755066
UKCP-GCM,land-gcm,15,-14.165104196506057
UKCP-RCM,land-rcm,01,-28.72240077348462
UKCP-RCM,land-rcm,04,14.33118715605633
UKCP-RCM,land-rcm,05,-15.98765161713272
UKCP-RCM,land-rcm,06,-14.844448759399043
UKCP-RCM,land-rcm,07,-31.686628333015715
UKCP-RCM,land-rcm,8,-21.860069572792646
UKCP-RCM,land-rcm,9,-41.952557863738946
UKCP-RCM,land-rcm,10,27.756671560448126
UKCP-RCM,land-rcm,11,-4.650470320789629
UKCP-RCM,land-rcm,12,-4.732002255605581
UKCP-RCM,land-rcm,13,-20.89556708638073
UKCP-RCM,land-rcm,15,-11.987599555359365
