project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-3.1901001930236816
CMIP5,ACCESS1-3,r1i1p1,-14.644597053527832
CMIP5,BNU-ESM,r1i1p1,8.747435569763184
CMIP5,CCSM4,r1i1p1,-1.711790680885315
CMIP5,CESM1-BGC,r1i1p1,-9.269234657287598
CMIP5,CESM1-CAM5,r1i1p1,7.905279636383057
CMIP5,CMCC-CESM,r1i1p1,-15.215107917785645
CMIP5,CMCC-CMS,r1i1p1,-11.7086763381958
CMIP5,CMCC-CM,r1i1p1,7.537881374359131
CMIP5,CNRM-CM5,r1i1p1,9.040106773376465
CMIP5,CSIRO-Mk3-6-0,r1i1p1,2.607844352722168
CMIP5,CanESM2,r1i1p1,9.139676094055176
CMIP5,EC-EARTH,r1i1p1,-3.2526817321777344
CMIP5,FGOALS-g2,r1i1p1,4.2990641593933105
CMIP5,FIO-ESM,r1i1p1,-9.843562126159668
CMIP5,GFDL-CM3,r1i1p1,5.045552730560303
CMIP5,GFDL-ESM2G,r1i1p1,6.110589027404785
CMIP5,GISS-E2-H,r1i1p1,1.069334626197815
CMIP5,GISS-E2-R,r1i1p1,-5.391829490661621
CMIP5,HadGEM2-CC,r1i1p1,-10.825190544128418
CMIP5,HadGEM2-ES,r1i1p1,2.4855618476867676
CMIP5,IPSL-CM5A-LR,r1i1p1,-1.1305254697799683
CMIP5,IPSL-CM5A-MR,r1i1p1,7.959486484527588
CMIP5,IPSL-CM5B-LR,r1i1p1,-0.23618265986442566
CMIP5,MIROC-ESM-CHEM,r1i1p1,-6.91129207611084
CMIP5,MIROC-ESM,r1i1p1,-9.29595947265625
CMIP5,MIROC5,r1i1p1,0.9337078928947449
CMIP5,MPI-ESM-LR,r1i1p1,-1.6287214756011963
CMIP5,MPI-ESM-MR,r1i1p1,-5.765465259552002
CMIP5,MRI-CGCM3,r1i1p1,14.674383163452148
CMIP5,NorESM1-ME,r1i1p1,-1.7987545728683472
CMIP5,NorESM1-M,r1i1p1,-3.1100575923919678
CMIP5,bcc-csm1-1-m,r1i1p1,-5.421375274658203
CMIP5,bcc-csm1-1,r1i1p1,-6.261707782745361
CMIP5,inmcm4,r1i1p1,-3.997579574584961
CMIP6,ACCESS-CM2,r1i1p1f1,-6.299450397491455
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-13.65544319152832
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,5.7602434158325195
CMIP6,BCC-CSM2-MR,r1i1p1f1,-0.9097109436988831
CMIP6,CAMS-CSM1-0,r1i1p1f1,-0.04912871494889259
CMIP6,CESM2-WACCM,r1i1p1f1,-18.91219139099121
CMIP6,CMCC-CM2-SR5,r1i1p1f1,11.212593078613281
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,15.668688774108887
CMIP6,CNRM-CM6-1,r1i1p1f2,-5.955384254455566
