project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-6.488765716552734
CMIP5,ACCESS1-3,r1i1p1,-2.7894773483276367
CMIP5,BNU-ESM,r1i1p1,-4.062285423278809
CMIP5,CCSM4,r1i1p1,-11.756060600280762
CMIP5,CESM1-BGC,r1i1p1,-0.17987845838069916
CMIP5,CESM1-CAM5,r1i1p1,-1.358625054359436
CMIP5,CMCC-CESM,r1i1p1,-42.11201095581055
CMIP5,CMCC-CMS,r1i1p1,-14.073380470275879
CMIP5,CMCC-CM,r1i1p1,-18.114931106567383
CMIP5,CNRM-CM5,r1i1p1,5.198532581329346
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-25.509761810302734
CMIP5,CanESM2,r1i1p1,-27.061477661132812
CMIP5,EC-EARTH,r1i1p1,-26.950279235839844
CMIP5,FGOALS-g2,r1i1p1,-12.956426620483398
CMIP5,FIO-ESM,r1i1p1,-4.020076751708984
CMIP5,GFDL-CM3,r1i1p1,-25.407541275024414
CMIP5,GFDL-ESM2G,r1i1p1,-5.161696434020996
CMIP5,GISS-E2-H,r1i1p1,-5.3750386238098145
CMIP5,GISS-E2-R,r1i1p1,-5.556894779205322
CMIP5,HadGEM2-CC,r1i1p1,-16.363035202026367
CMIP5,HadGEM2-ES,r1i1p1,-24.969179153442383
CMIP5,IPSL-CM5A-LR,r1i1p1,-15.73203182220459
CMIP5,IPSL-CM5A-MR,r1i1p1,-30.67900276184082
CMIP5,IPSL-CM5B-LR,r1i1p1,-3.886385917663574
CMIP5,MIROC-ESM-CHEM,r1i1p1,-2.442760705947876
CMIP5,MIROC-ESM,r1i1p1,4.024133205413818
CMIP5,MIROC5,r1i1p1,-2.0807037353515625
CMIP5,MPI-ESM-LR,r1i1p1,-12.506773948669434
CMIP5,MPI-ESM-MR,r1i1p1,-23.27378273010254
CMIP5,MRI-CGCM3,r1i1p1,1.9013762474060059
CMIP5,NorESM1-ME,r1i1p1,-7.905937671661377
CMIP5,NorESM1-M,r1i1p1,-8.405950546264648
CMIP5,bcc-csm1-1-m,r1i1p1,-12.785575866699219
CMIP5,bcc-csm1-1,r1i1p1,-1.998819351196289
CMIP5,inmcm4,r1i1p1,-41.896785736083984
CMIP6,ACCESS-CM2,r1i1p1f1,-18.472612380981445
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-7.810441493988037
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-30.983930587768555
CMIP6,BCC-CSM2-MR,r1i1p1f1,-20.15791893005371
CMIP6,CAMS-CSM1-0,r1i1p1f1,4.209251880645752
CMIP6,CESM2-WACCM,r1i1p1f1,-9.229203224182129
CMIP6,CMCC-CM2-SR5,r1i1p1f1,8.217435836791992
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-1.5751315355300903
CMIP6,CNRM-CM6-1,r1i1p1f2,-12.021276473999023
CMIP6,CNRM-ESM2-1,r1i1p1f2,-14.592409133911133
CMIP6,CanESM5-CanOE,r1i1p2f1,-24.870214462280273
CMIP6,CanESM5,r1i1p1f1,9.839256286621094
CMIP6,E3SM-1-1,r1i1p1f1,8.032159805297852
CMIP6,EC-Earth3-Veg,r1i1p1f1,8.993802070617676
CMIP6,FGOALS-f3-L,r1i1p1f1,-6.5322370529174805
CMIP6,FGOALS-g3,r1i1p1f1,-9.758905410766602
CMIP6,FIO-ESM-2-0,r1i1p1f1,-20.94265365600586
CMIP6,GFDL-CM4,r1i1p1f1,-9.660794258117676
CMIP6,GFDL-ESM4,r1i1p1f1,-6.47676420211792
CMIP6,GISS-E2-1-G,r1i1p1f2,-15.133896827697754
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-26.435501098632812
CMIP6,INM-CM4-8,r1i1p1f1,-10.01804256439209
CMIP6,INM-CM5-0,r1i1p1f1,-11.625832557678223
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-21.678348541259766
CMIP6,KACE-1-0-G,r1i1p1f1,-41.65278244018555
CMIP6,MIROC-ES2L,r1i1p1f2,-4.374724388122559
CMIP6,MIROC6,r1i1p1f1,-15.366287231445312
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-17.337059020996094
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-24.841753005981445
CMIP6,MRI-ESM2-0,r1i1p1f1,4.6908278465271
CMIP6,NESM3,r1i1p1f1,-26.311742782592773
