project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,11.191844940185547
CMIP5,ACCESS1-3,r1i1p1,-3.3533294200897217
CMIP5,BNU-ESM,r1i1p1,9.064347267150879
CMIP5,CCSM4,r1i1p1,-4.851927757263184
CMIP5,CESM1-BGC,r1i1p1,-13.465726852416992
CMIP5,CESM1-CAM5,r1i1p1,27.738779067993164
CMIP5,CMCC-CESM,r1i1p1,0.534494936466217
CMIP5,CMCC-CMS,r1i1p1,-9.004449844360352
CMIP5,CMCC-CM,r1i1p1,8.62634563446045
CMIP5,CNRM-CM5,r1i1p1,-2.297126054763794
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-10.385159492492676
CMIP5,CanESM2,r1i1p1,4.015660762786865
CMIP5,EC-EARTH,r1i1p1,-3.823373794555664
CMIP5,FGOALS-g2,r1i1p1,-2.33079195022583
CMIP5,FIO-ESM,r1i1p1,-13.384005546569824
CMIP5,GFDL-CM3,r1i1p1,-4.109858989715576
CMIP5,GFDL-ESM2G,r1i1p1,-18.209964752197266
CMIP5,GISS-E2-H,r1i1p1,-11.08725643157959
CMIP5,GISS-E2-R,r1i1p1,6.106103420257568
CMIP5,HadGEM2-CC,r1i1p1,0.9591726660728455
CMIP5,HadGEM2-ES,r1i1p1,-10.75802993774414
CMIP5,IPSL-CM5A-LR,r1i1p1,-15.735051155090332
CMIP5,IPSL-CM5A-MR,r1i1p1,-13.583948135375977
CMIP5,IPSL-CM5B-LR,r1i1p1,-4.80549430847168
CMIP5,MIROC-ESM-CHEM,r1i1p1,-7.936216831207275
CMIP5,MIROC-ESM,r1i1p1,-18.78054428100586
CMIP5,MIROC5,r1i1p1,14.189681053161621
CMIP5,MPI-ESM-LR,r1i1p1,-17.58296775817871
CMIP5,MPI-ESM-MR,r1i1p1,0.9774395227432251
CMIP5,MRI-CGCM3,r1i1p1,2.547424554824829
CMIP5,NorESM1-ME,r1i1p1,-6.922666072845459
CMIP5,NorESM1-M,r1i1p1,-1.0208740234375
CMIP5,bcc-csm1-1-m,r1i1p1,2.832227945327759
CMIP5,bcc-csm1-1,r1i1p1,-1.1060404777526855
CMIP5,inmcm4,r1i1p1,-11.768104553222656
CMIP6,ACCESS-CM2,r1i1p1f1,13.37913703918457
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-15.291481018066406
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,7.343588829040527
CMIP6,BCC-CSM2-MR,r1i1p1f1,3.806699514389038
CMIP6,CAMS-CSM1-0,r1i1p1f1,-3.28609299659729
CMIP6,CESM2-WACCM,r1i1p1f1,-13.220521926879883
CMIP6,CMCC-CM2-SR5,r1i1p1f1,16.933204650878906
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,2.6488358974456787
CMIP6,CNRM-CM6-1,r1i1p1f2,2.103477954864502
CMIP6,CNRM-ESM2-1,r1i1p1f2,-3.1937074661254883
CMIP6,CanESM5-CanOE,r1i1p2f1,16.351905822753906
CMIP6,CanESM5,r1i1p1f1,17.52320671081543
CMIP6,E3SM-1-1,r1i1p1f1,-19.358753204345703
CMIP6,EC-Earth3-Veg,r1i1p1f1,9.621719360351562
CMIP6,FGOALS-f3-L,r1i1p1f1,-15.335702896118164
CMIP6,FGOALS-g3,r1i1p1f1,-19.208911895751953
CMIP6,FIO-ESM-2-0,r1i1p1f1,-8.088589668273926
CMIP6,GFDL-CM4,r1i1p1f1,-5.97460412979126
CMIP6,GFDL-ESM4,r1i1p1f1,-3.3002474308013916
CMIP6,GISS-E2-1-G,r1i1p1f2,20.345176696777344
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-7.038670539855957
CMIP6,INM-CM4-8,r1i1p1f1,-18.92941665649414
CMIP6,INM-CM5-0,r1i1p1f1,9.2838773727417
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-25.04861068725586
CMIP6,KACE-1-0-G,r1i1p1f1,-22.87013053894043
CMIP6,MIROC-ES2L,r1i1p1f2,-9.53468132019043
CMIP6,MIROC6,r1i1p1f1,-17.213756561279297
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,12.360166549682617
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-0.8701342344284058
CMIP6,MRI-ESM2-0,r1i1p1f1,-4.708901882171631
CMIP6,NESM3,r1i1p1f1,-8.272211074829102
CMIP6,NorESM2-LM,r1i1p1f1,-21.49735450744629
CMIP6,NorESM2-MM,r1i1p1f1,-0.9938752055168152
CMIP6,TaiESM1,r1i1p1f1,-13.134184837341309
CMIP6,UKESM1-0-LL,r1i1p1f2,-16.57237434387207
cordex_cpm,CNRM-AROME41t1,r1i1p1,-7.538586139678955
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-15.91777229309082
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-14.213174819946289
