project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,3.480297803878784
CMIP5,ACCESS1-3,r1i1p1,1.9547406435012817
CMIP5,BNU-ESM,r1i1p1,-8.455679893493652
CMIP5,CCSM4,r1i1p1,4.990345001220703
CMIP5,CESM1-BGC,r1i1p1,-13.701420783996582
CMIP5,CESM1-CAM5,r1i1p1,-2.328702449798584
CMIP5,CMCC-CESM,r1i1p1,-9.803821563720703
CMIP5,CMCC-CMS,r1i1p1,-25.9548397064209
CMIP5,CMCC-CM,r1i1p1,13.48712158203125
CMIP5,CNRM-CM5,r1i1p1,11.509252548217773
CMIP5,CSIRO-Mk3-6-0,r1i1p1,15.065082550048828
CMIP5,CanESM2,r1i1p1,6.43235969543457
CMIP5,EC-EARTH,r1i1p1,16.229373931884766
CMIP5,FGOALS-g2,r1i1p1,7.961798667907715
CMIP5,FIO-ESM,r1i1p1,-2.1065943241119385
CMIP5,GFDL-CM3,r1i1p1,-19.174243927001953
CMIP5,GFDL-ESM2G,r1i1p1,7.329137802124023
CMIP5,GISS-E2-H,r1i1p1,-24.624486923217773
CMIP5,GISS-E2-R,r1i1p1,-13.563661575317383
CMIP5,HadGEM2-CC,r1i1p1,22.305362701416016
CMIP5,HadGEM2-ES,r1i1p1,-16.80936050415039
CMIP5,IPSL-CM5A-LR,r1i1p1,7.407043933868408
CMIP5,IPSL-CM5A-MR,r1i1p1,-21.47298812866211
CMIP5,IPSL-CM5B-LR,r1i1p1,13.434769630432129
CMIP5,MIROC-ESM-CHEM,r1i1p1,1.1559875011444092
CMIP5,MIROC-ESM,r1i1p1,6.868292331695557
CMIP5,MIROC5,r1i1p1,2.0076117515563965
CMIP5,MPI-ESM-LR,r1i1p1,13.351285934448242
CMIP5,MPI-ESM-MR,r1i1p1,-4.723135471343994
CMIP5,MRI-CGCM3,r1i1p1,0.7271827459335327
CMIP5,NorESM1-ME,r1i1p1,-7.316526889801025
CMIP5,NorESM1-M,r1i1p1,-13.608272552490234
CMIP5,bcc-csm1-1-m,r1i1p1,-3.8905911445617676
CMIP5,bcc-csm1-1,r1i1p1,-7.738076686859131
CMIP5,inmcm4,r1i1p1,-0.5026394724845886
CMIP6,ACCESS-CM2,r1i1p1f1,-7.490197658538818
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-19.39645767211914
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-10.599732398986816
CMIP6,BCC-CSM2-MR,r1i1p1f1,-15.267928123474121
CMIP6,CAMS-CSM1-0,r1i1p1f1,22.166793823242188
CMIP6,CESM2-WACCM,r1i1p1f1,11.541404724121094
CMIP6,CMCC-CM2-SR5,r1i1p1f1,6.8568220138549805
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-19.86150360107422
CMIP6,CNRM-CM6-1,r1i1p1f2,-0.9334918856620789
CMIP6,CNRM-ESM2-1,r1i1p1f2,3.390984296798706
CMIP6,CanESM5-CanOE,r1i1p2f1,-4.792665004730225
CMIP6,CanESM5,r1i1p1f1,8.09510612487793
CMIP6,E3SM-1-1,r1i1p1f1,30.19047737121582
CMIP6,EC-Earth3-Veg,r1i1p1f1,-3.7743752002716064
CMIP6,FGOALS-f3-L,r1i1p1f1,-20.658655166625977
CMIP6,FGOALS-g3,r1i1p1f1,2.0433692932128906
CMIP6,FIO-ESM-2-0,r1i1p1f1,-1.7423206567764282
CMIP6,GFDL-CM4,r1i1p1f1,6.728798866271973
CMIP6,GFDL-ESM4,r1i1p1f1,6.299342155456543
CMIP6,GISS-E2-1-G,r1i1p1f2,-1.474456787109375
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-12.970921516418457
CMIP6,INM-CM4-8,r1i1p1f1,-7.790727138519287
