project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,3.7840473651885986
CMIP5,ACCESS1-3,r1i1p1,14.860481262207031
CMIP5,BNU-ESM,r1i1p1,2.0001895427703857
CMIP5,CCSM4,r1i1p1,3.1088509559631348
CMIP5,CESM1-BGC,r1i1p1,0.8264108300209045
CMIP5,CESM1-CAM5,r1i1p1,21.080018997192383
CMIP5,CMCC-CESM,r1i1p1,-10.410741806030273
CMIP5,CMCC-CMS,r1i1p1,10.136706352233887
CMIP5,CMCC-CM,r1i1p1,-1.8297920227050781
CMIP5,CNRM-CM5,r1i1p1,19.0465087890625
CMIP5,CSIRO-Mk3-6-0,r1i1p1,7.609229564666748
CMIP5,CanESM2,r1i1p1,23.26348876953125
CMIP5,EC-EARTH,r1i1p1,2.911949634552002
CMIP5,FGOALS-g2,r1i1p1,8.66517448425293
CMIP5,FIO-ESM,r1i1p1,5.475303649902344
CMIP5,GFDL-CM3,r1i1p1,11.838379859924316
CMIP5,GFDL-ESM2G,r1i1p1,-4.947855472564697
CMIP5,GISS-E2-H,r1i1p1,6.774373531341553
CMIP5,GISS-E2-R,r1i1p1,-6.86438512802124
CMIP5,HadGEM2-CC,r1i1p1,1.2915230989456177
CMIP5,HadGEM2-ES,r1i1p1,13.59055233001709
CMIP5,IPSL-CM5A-LR,r1i1p1,-6.337543487548828
CMIP5,IPSL-CM5A-MR,r1i1p1,8.335494995117188
CMIP5,IPSL-CM5B-LR,r1i1p1,18.794321060180664
CMIP5,MIROC-ESM-CHEM,r1i1p1,5.266051769256592
CMIP5,MIROC-ESM,r1i1p1,0.41454118490219116
CMIP5,MIROC5,r1i1p1,1.2640360593795776
CMIP5,MPI-ESM-LR,r1i1p1,10.343871116638184
CMIP5,MPI-ESM-MR,r1i1p1,11.084609985351562
CMIP5,MRI-CGCM3,r1i1p1,5.0404229164123535
CMIP5,NorESM1-ME,r1i1p1,5.426140308380127
CMIP5,NorESM1-M,r1i1p1,0.6074903011322021
CMIP5,bcc-csm1-1-m,r1i1p1,4.5325493812561035
CMIP5,bcc-csm1-1,r1i1p1,-0.65521240234375
CMIP5,inmcm4,r1i1p1,4.275787830352783
CMIP6,ACCESS-CM2,r1i1p1f1,-8.980108261108398
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-0.0530351884663105
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,10.053406715393066
CMIP6,BCC-CSM2-MR,r1i1p1f1,3.8950278759002686
CMIP6,CAMS-CSM1-0,r1i1p1f1,-6.143486499786377
CMIP6,CESM2-WACCM,r1i1p1f1,-4.413627624511719
CMIP6,CMCC-CM2-SR5,r1i1p1f1,9.913188934326172
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,23.6849308013916
CMIP6,CNRM-CM6-1,r1i1p1f2,-2.83974027633667
CMIP6,CNRM-ESM2-1,r1i1p1f2,-12.059322357177734
CMIP6,CanESM5-CanOE,r1i1p2f1,17.75432586669922
CMIP6,CanESM5,r1i1p1f1,22.88153076171875
CMIP6,E3SM-1-1,r1i1p1f1,6.320633888244629
CMIP6,EC-Earth3-Veg,r1i1p1f1,8.82874870300293
CMIP6,FGOALS-f3-L,r1i1p1f1,6.525797367095947
CMIP6,FGOALS-g3,r1i1p1f1,15.529431343078613
CMIP6,FIO-ESM-2-0,r1i1p1f1,1.4149616956710815
CMIP6,GFDL-CM4,r1i1p1f1,6.614749908447266
CMIP6,GFDL-ESM4,r1i1p1f1,20.72262954711914
CMIP6,GISS-E2-1-G,r1i1p1f2,8.333292007446289
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-5.234974384307861
CMIP6,INM-CM4-8,r1i1p1f1,7.701037883758545
CMIP6,INM-CM5-0,r1i1p1f1,21.295528411865234
CMIP6,IPSL-CM6A-LR,r1i1p1f1,14.285011291503906
CMIP6,KACE-1-0-G,r1i1p1f1,14.009515762329102
CMIP6,MIROC-ES2L,r1i1p1f2,11.024721145629883
CMIP6,MIROC6,r1i1p1f1,8.89094066619873
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-2.7767837047576904
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-1.264648199081421
CMIP6,MRI-ESM2-0,r1i1p1f1,-19.646957397460938
CMIP6,NESM3,r1i1p1f1,-5.282905101776123
CMIP6,NorESM2-LM,r1i1p1f1,6.371128559112549
CMIP6,NorESM2-MM,r1i1p1f1,1.1695067882537842
CMIP6,TaiESM1,r1i1p1f1,14.852478981018066
CMIP6,UKESM1-0-LL,r1i1p1f2,-16.87633514404297
cordex_cpm,CNRM-AROME41t1,r1i1p1,20.624835968017578
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,30.781585693359375
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,34.64944839477539
cordex_cpm,GERICS-REMO2015,r1i1p1,7.307106971740723
cordex_cpm,COSMO-pompa,r1i1p1,5.911594390869141
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,23.377349853515625
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-0.8402135372161865
CORDEX-EUR11,ALADIN53,r1i1p1,25.03315544128418
CORDEX-EUR11,ALADIN63,r1i1p1,21.529308319091797
CORDEX-EUR11,CCLM4-8-17,r1i1p1,14.453327178955078
CORDEX-EUR11,HIRHAM5,r1i1p1,15.462122917175293
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,22.059858322143555
CORDEX-EUR11,RACMO22E,r1i1p1,17.147144317626953
CORDEX-EUR11,RCA4,r1i1p1,17.193376541137695
CORDEX-EUR11,CCLM4-8-17,r12i1p1,25.779163360595703
CORDEX-EUR11,HIRHAM5,r3i1p1,13.446704864501953
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,35.522300720214844
CORDEX-EUR11,RACMO22E,r12i1p1,35.37492752075195
CORDEX-EUR11,RCA4,r12i1p1,33.081661224365234
CORDEX-EUR11,RCA4,r1i1p1,7.357858180999756
CORDEX-EUR11,ALADIN63,r1i1p1,29.953166961669922
CORDEX-EUR11,CCLM4-8-17,r1i1p1,20.5457706451416
CORDEX-EUR11,HIRHAM5,r1i1p1,22.34787940979004
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,19.83437728881836
CORDEX-EUR11,RACMO22E,r1i1p1,22.82343292236328
CORDEX-EUR11,RCA4,r1i1p1,14.004236221313477
CORDEX-EUR11,RegCM4-6,r1i1p1,10.096819877624512
CORDEX-EUR11,ALADIN63,r1i1p1,13.275567054748535
CORDEX-EUR11,CCLM4-8-17,r1i1p1,5.435893535614014
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,7.70084285736084
CORDEX-EUR11,RCA4,r1i1p1,16.404237747192383
CORDEX-EUR11,REMO2009,r1i1p1,14.102270126342773
CORDEX-EUR11,REMO2015,r3i1p1,5.937173843383789
CORDEX-EUR11,ALADIN63,r1i1p1,0.18034982681274414
CORDEX-EUR11,HIRHAM5,r1i1p1,-5.107550144195557
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-0.11677884310483932
CORDEX-EUR11,RACMO22E,r1i1p1,-4.7321648597717285
CORDEX-EUR11,RCA4,r1i1p1,-2.7993805408477783
CORDEX-EUR11,REMO2015,r1i1p1,-0.23571869730949402
UKCP-GCM,land-gcm,01,-1.2461962842930285
UKCP-GCM,land-gcm,02,13.299986052267961
UKCP-GCM,land-gcm,03,5.352263372569448
UKCP-GCM,land-gcm,04,0.6667281010438696
UKCP-GCM,land-gcm,05,19.636558597328467
UKCP-GCM,land-gcm,06,-16.86991813478592
UKCP-GCM,land-gcm,07,8.241634642544025
UKCP-GCM,land-gcm,8,12.655852539626359
UKCP-GCM,land-gcm,9,15.52501289247073
UKCP-GCM,land-gcm,10,2.4997444614880346
UKCP-GCM,land-gcm,11,-5.965064149062795
UKCP-GCM,land-gcm,12,-4.197482789357013
UKCP-GCM,land-gcm,13,-13.253045787581879
UKCP-GCM,land-gcm,14,18.76743090848244
UKCP-GCM,land-gcm,15,24.05710558063316
UKCP-RCM,land-rcm,01,-1.4623705163605234
UKCP-RCM,land-rcm,04,0.223153858415416
UKCP-RCM,land-rcm,05,24.903649234996923
UKCP-RCM,land-rcm,06,-13.638592451433684
UKCP-RCM,land-rcm,07,14.488912901328005
UKCP-RCM,land-rcm,8,12.041354232565617
UKCP-RCM,land-rcm,9,22.02426176886546
UKCP-RCM,land-rcm,10,-3.45027103733682
UKCP-RCM,land-rcm,11,-2.9171523850404255
UKCP-RCM,land-rcm,12,-2.0721397395054955
UKCP-RCM,land-rcm,13,-12.690934353846197
UKCP-RCM,land-rcm,15,25.925178802096617
