project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-6.555537700653076
CMIP5,ACCESS1-3,r1i1p1,-9.054168701171875
CMIP5,BNU-ESM,r1i1p1,-1.9199070930480957
CMIP5,CCSM4,r1i1p1,1.8022332191467285
CMIP5,CESM1-BGC,r1i1p1,1.2345061302185059
CMIP5,CESM1-CAM5,r1i1p1,0.6232545971870422
CMIP5,CMCC-CESM,r1i1p1,-13.699254035949707
CMIP5,CMCC-CMS,r1i1p1,-3.251532793045044
CMIP5,CMCC-CM,r1i1p1,-6.69258451461792
CMIP5,CNRM-CM5,r1i1p1,8.894782066345215
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-6.064774036407471
CMIP5,CanESM2,r1i1p1,-23.814525604248047
CMIP5,EC-EARTH,r1i1p1,-10.382766723632812
CMIP5,FGOALS-g2,r1i1p1,0.503186821937561
CMIP5,FIO-ESM,r1i1p1,-6.846402645111084
CMIP5,GFDL-CM3,r1i1p1,-11.583396911621094
CMIP5,GFDL-ESM2G,r1i1p1,-1.8000025749206543
CMIP5,GISS-E2-H,r1i1p1,5.423144817352295
CMIP5,GISS-E2-R,r1i1p1,12.88348388671875
CMIP5,HadGEM2-CC,r1i1p1,-20.55806541442871
CMIP5,HadGEM2-ES,r1i1p1,-18.948095321655273
CMIP5,IPSL-CM5A-LR,r1i1p1,-0.43490636348724365
CMIP5,IPSL-CM5A-MR,r1i1p1,-8.088152885437012
CMIP5,IPSL-CM5B-LR,r1i1p1,-3.1028037071228027
CMIP5,MIROC-ESM-CHEM,r1i1p1,10.404391288757324
CMIP5,MIROC-ESM,r1i1p1,13.26563835144043
CMIP5,MIROC5,r1i1p1,-1.978432059288025
CMIP5,MPI-ESM-LR,r1i1p1,5.707061767578125
CMIP5,MPI-ESM-MR,r1i1p1,-4.737708568572998
CMIP5,MRI-CGCM3,r1i1p1,14.390741348266602
CMIP5,NorESM1-ME,r1i1p1,-1.8266191482543945
CMIP5,NorESM1-M,r1i1p1,3.1331558227539062
CMIP5,bcc-csm1-1-m,r1i1p1,-11.86375904083252
CMIP5,bcc-csm1-1,r1i1p1,-4.776927947998047
CMIP5,inmcm4,r1i1p1,-28.268033981323242
CMIP6,ACCESS-CM2,r1i1p1f1,-5.166910171508789
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-21.274494171142578
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-18.4063663482666
CMIP6,BCC-CSM2-MR,r1i1p1f1,-12.352957725524902
CMIP6,CAMS-CSM1-0,r1i1p1f1,5.325160980224609
CMIP6,CESM2-WACCM,r1i1p1f1,-16.869367599487305
CMIP6,CMCC-CM2-SR5,r1i1p1f1,-7.57239294052124
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,11.454911231994629
CMIP6,CNRM-CM6-1,r1i1p1f2,4.365302562713623
CMIP6,CNRM-ESM2-1,r1i1p1f2,-6.905444622039795
CMIP6,CanESM5-CanOE,r1i1p2f1,-14.910857200622559
CMIP6,CanESM5,r1i1p1f1,13.624130249023438
CMIP6,E3SM-1-1,r1i1p1f1,11.73880386352539
CMIP6,EC-Earth3-Veg,r1i1p1f1,16.97951889038086
CMIP6,FGOALS-f3-L,r1i1p1f1,-9.286429405212402
CMIP6,FGOALS-g3,r1i1p1f1,-10.694876670837402
CMIP6,FIO-ESM-2-0,r1i1p1f1,-14.066176414489746
CMIP6,GFDL-CM4,r1i1p1f1,-3.3446145057678223
CMIP6,GFDL-ESM4,r1i1p1f1,-3.192413568496704
CMIP6,GISS-E2-1-G,r1i1p1f2,-18.75638771057129
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-6.3667683601379395
CMIP6,INM-CM4-8,r1i1p1f1,-12.46927261352539
CMIP6,INM-CM5-0,r1i1p1f1,-20.623380661010742
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-2.241647481918335
CMIP6,KACE-1-0-G,r1i1p1f1,-25.426801681518555
CMIP6,MIROC-ES2L,r1i1p1f2,-1.7440922260284424
CMIP6,MIROC6,r1i1p1f1,3.1961982250213623
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-10.31201457977295
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-18.06883430480957
CMIP6,MRI-ESM2-0,r1i1p1f1,7.390006065368652
CMIP6,NESM3,r1i1p1f1,-20.762313842773438
CMIP6,NorESM2-LM,r1i1p1f1,11.937193870544434
CMIP6,NorESM2-MM,r1i1p1f1,-11.127143859863281
CMIP6,TaiESM1,r1i1p1f1,-10.441483497619629
CMIP6,UKESM1-0-LL,r1i1p1f2,-18.154190063476562
cordex_cpm,CNRM-AROME41t1,r1i1p1,16.321453094482422
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,1.2991340160369873
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-3.632542610168457
cordex_cpm,GERICS-REMO2015,r1i1p1,-10.369183540344238
cordex_cpm,COSMO-pompa,r1i1p1,2.8341407775878906
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-20.59246253967285
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-7.191765308380127
CORDEX-EUR11,ALADIN53,r1i1p1,18.25682830810547
CORDEX-EUR11,ALADIN63,r1i1p1,21.906906127929688
CORDEX-EUR11,CCLM4-8-17,r1i1p1,14.013190269470215
CORDEX-EUR11,HIRHAM5,r1i1p1,11.541579246520996
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,6.3201470375061035
CORDEX-EUR11,RACMO22E,r1i1p1,8.234750747680664
CORDEX-EUR11,RCA4,r1i1p1,12.891080856323242
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-1.266169786453247
CORDEX-EUR11,HIRHAM5,r3i1p1,-5.6984052658081055
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-5.4807844161987305
