project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,18.043228149414062
CMIP5,ACCESS1-3,r1i1p1,16.92424964904785
CMIP5,BNU-ESM,r1i1p1,7.299661636352539
CMIP5,CCSM4,r1i1p1,3.07102108001709
CMIP5,CESM1-BGC,r1i1p1,-7.792212009429932
CMIP5,CESM1-CAM5,r1i1p1,32.18843460083008
CMIP5,CMCC-CESM,r1i1p1,27.916748046875
CMIP5,CMCC-CMS,r1i1p1,0.19634826481342316
CMIP5,CMCC-CM,r1i1p1,19.447084426879883
CMIP5,CNRM-CM5,r1i1p1,7.569670677185059
CMIP5,CSIRO-Mk3-6-0,r1i1p1,8.894648551940918
CMIP5,CanESM2,r1i1p1,19.11986541748047
CMIP5,EC-EARTH,r1i1p1,9.804475784301758
CMIP5,FGOALS-g2,r1i1p1,17.23040771484375
CMIP5,FIO-ESM,r1i1p1,6.310801029205322
CMIP5,GFDL-CM3,r1i1p1,8.927619934082031
CMIP5,GFDL-ESM2G,r1i1p1,-17.379789352416992
CMIP5,GISS-E2-H,r1i1p1,10.021791458129883
CMIP5,GISS-E2-R,r1i1p1,8.73428726196289
CMIP5,HadGEM2-CC,r1i1p1,-0.5665674805641174
CMIP5,HadGEM2-ES,r1i1p1,-5.458975791931152
CMIP5,IPSL-CM5A-LR,r1i1p1,-5.287392616271973
CMIP5,IPSL-CM5A-MR,r1i1p1,7.954976558685303
CMIP5,IPSL-CM5B-LR,r1i1p1,6.770430564880371
CMIP5,MIROC-ESM-CHEM,r1i1p1,0.6525126695632935
CMIP5,MIROC-ESM,r1i1p1,3.472357988357544
CMIP5,MIROC5,r1i1p1,25.53171730041504
CMIP5,MPI-ESM-LR,r1i1p1,0.9257904291152954
CMIP5,MPI-ESM-MR,r1i1p1,3.471834659576416
CMIP5,MRI-CGCM3,r1i1p1,8.371970176696777
CMIP5,NorESM1-ME,r1i1p1,-2.6033551692962646
CMIP5,NorESM1-M,r1i1p1,-4.537135124206543
CMIP5,bcc-csm1-1-m,r1i1p1,0.09152969717979431
CMIP5,bcc-csm1-1,r1i1p1,-7.803739547729492
CMIP5,inmcm4,r1i1p1,-5.60150146484375
CMIP6,ACCESS-CM2,r1i1p1f1,14.938724517822266
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-4.39562463760376
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,12.309393882751465
CMIP6,BCC-CSM2-MR,r1i1p1f1,1.1916133165359497
CMIP6,CAMS-CSM1-0,r1i1p1f1,15.696914672851562
CMIP6,CESM2-WACCM,r1i1p1f1,10.422964096069336
CMIP6,CMCC-CM2-SR5,r1i1p1f1,18.033336639404297
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,18.137832641601562
CMIP6,CNRM-CM6-1,r1i1p1f2,7.59482479095459
CMIP6,CNRM-ESM2-1,r1i1p1f2,9.760504722595215
CMIP6,CanESM5-CanOE,r1i1p2f1,9.833491325378418
CMIP6,CanESM5,r1i1p1f1,32.283203125
CMIP6,E3SM-1-1,r1i1p1f1,7.721861362457275
CMIP6,EC-Earth3-Veg,r1i1p1f1,10.709992408752441
CMIP6,FGOALS-f3-L,r1i1p1f1,5.319177150726318
CMIP6,FGOALS-g3,r1i1p1f1,-9.320631980895996
CMIP6,FIO-ESM-2-0,r1i1p1f1,-1.7049663066864014
CMIP6,GFDL-CM4,r1i1p1f1,9.16172981262207
CMIP6,GFDL-ESM4,r1i1p1f1,18.226177215576172
CMIP6,GISS-E2-1-G,r1i1p1f2,14.783297538757324
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,21.52077865600586
CMIP6,INM-CM4-8,r1i1p1f1,-7.505288600921631
CMIP6,INM-CM5-0,r1i1p1f1,20.52483558654785
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-0.8755559921264648
CMIP6,KACE-1-0-G,r1i1p1f1,1.0179862976074219
CMIP6,MIROC-ES2L,r1i1p1f2,-6.544853210449219
CMIP6,MIROC6,r1i1p1f1,-15.126805305480957
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,14.110152244567871
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,11.34025764465332
CMIP6,MRI-ESM2-0,r1i1p1f1,4.8374223709106445
CMIP6,NESM3,r1i1p1f1,-1.5217238664627075
CMIP6,NorESM2-LM,r1i1p1f1,-16.75681495666504
CMIP6,NorESM2-MM,r1i1p1f1,2.1495165824890137
CMIP6,TaiESM1,r1i1p1f1,9.164590835571289
CMIP6,UKESM1-0-LL,r1i1p1f2,6.310971260070801
cordex_cpm,CNRM-AROME41t1,r1i1p1,13.957090377807617
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-4.355388164520264
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-8.196365356445312
cordex_cpm,GERICS-REMO2015,r1i1p1,0.3767569065093994
cordex_cpm,COSMO-pompa,r1i1p1,9.001826286315918
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-0.4609709680080414
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,0.1770770400762558
CORDEX-EUR11,ALADIN53,r1i1p1,20.52483558654785
CORDEX-EUR11,ALADIN63,r1i1p1,10.015608787536621
CORDEX-EUR11,CCLM4-8-17,r1i1p1,3.7051711082458496
CORDEX-EUR11,HIRHAM5,r1i1p1,0.49306243658065796
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,2.2845635414123535
CORDEX-EUR11,RACMO22E,r1i1p1,1.000946283340454
CORDEX-EUR11,RCA4,r1i1p1,19.139381408691406
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-5.860093593597412
CORDEX-EUR11,HIRHAM5,r3i1p1,28.064912796020508
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-2.9053869247436523
CORDEX-EUR11,RACMO22E,r12i1p1,-12.924246788024902
CORDEX-EUR11,RCA4,r12i1p1,-2.430783271789551
CORDEX-EUR11,RCA4,r1i1p1,12.006037712097168
CORDEX-EUR11,ALADIN63,r1i1p1,21.862276077270508
CORDEX-EUR11,CCLM4-8-17,r1i1p1,4.696089744567871
CORDEX-EUR11,HIRHAM5,r1i1p1,3.426618814468384
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,3.187885046005249
CORDEX-EUR11,RACMO22E,r1i1p1,0.13051310181617737
CORDEX-EUR11,RCA4,r1i1p1,8.052480697631836
CORDEX-EUR11,RegCM4-6,r1i1p1,-0.31384342908859253
CORDEX-EUR11,ALADIN63,r1i1p1,9.451672554016113
CORDEX-EUR11,CCLM4-8-17,r1i1p1,8.060558319091797
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,8.48670482635498
CORDEX-EUR11,RCA4,r1i1p1,3.1286797523498535
CORDEX-EUR11,REMO2009,r1i1p1,10.793347358703613
CORDEX-EUR11,REMO2015,r3i1p1,-4.856072425842285
CORDEX-EUR11,ALADIN63,r1i1p1,-5.3418707847595215
CORDEX-EUR11,HIRHAM5,r1i1p1,-6.281391620635986
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-3.3976049423217773
CORDEX-EUR11,RACMO22E,r1i1p1,-13.923200607299805
CORDEX-EUR11,RCA4,r1i1p1,-6.979385852813721
CORDEX-EUR11,REMO2015,r1i1p1,-8.014126777648926
UKCP-GCM,land-gcm,01,-3.41711955410957
UKCP-GCM,land-gcm,02,5.144758846585494
UKCP-GCM,land-gcm,03,13.191171893168468
UKCP-GCM,land-gcm,04,18.156445501763574
UKCP-GCM,land-gcm,05,-0.4729369066390948
UKCP-GCM,land-gcm,06,4.539067418240681
UKCP-GCM,land-gcm,07,10.16997752153997
UKCP-GCM,land-gcm,8,1.8971425552267334
UKCP-GCM,land-gcm,9,12.150819616818715
UKCP-GCM,land-gcm,10,-0.1740839977272385
UKCP-GCM,land-gcm,11,-3.6630623942968628
UKCP-GCM,land-gcm,12,0.5611959342165113
UKCP-GCM,land-gcm,13,19.56780269737741
UKCP-GCM,land-gcm,14,8.64134053294274
UKCP-GCM,land-gcm,15,6.0458752247439005
UKCP-RCM,land-rcm,01,3.985441342007545
UKCP-RCM,land-rcm,04,18.03740839178766
UKCP-RCM,land-rcm,05,2.8319477669329327
UKCP-RCM,land-rcm,06,13.835519115854447
UKCP-RCM,land-rcm,07,7.720482954969442
UKCP-RCM,land-rcm,8,-1.5518223750754052
UKCP-RCM,land-rcm,9,20.26396691453032
UKCP-RCM,land-rcm,10,10.695992616223492
UKCP-RCM,land-rcm,11,-3.1774664001753883
UKCP-RCM,land-rcm,12,6.67009099286149
UKCP-RCM,land-rcm,13,9.61126504201744
UKCP-RCM,land-rcm,15,-0.47062434187390356
