project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-2.953967571258545
CMIP5,ACCESS1-3,r1i1p1,3.4349708557128906
CMIP5,BNU-ESM,r1i1p1,-3.9370920658111572
CMIP5,CCSM4,r1i1p1,4.212123394012451
CMIP5,CESM1-BGC,r1i1p1,1.4403350353240967
CMIP5,CESM1-CAM5,r1i1p1,11.135769844055176
CMIP5,CMCC-CESM,r1i1p1,-2.5597293376922607
CMIP5,CMCC-CMS,r1i1p1,-9.47547435760498
CMIP5,CMCC-CM,r1i1p1,3.571636915206909
CMIP5,CNRM-CM5,r1i1p1,14.404414176940918
CMIP5,CSIRO-Mk3-6-0,r1i1p1,8.674580574035645
CMIP5,CanESM2,r1i1p1,-2.3907740116119385
CMIP5,EC-EARTH,r1i1p1,-8.145528793334961
CMIP5,FGOALS-g2,r1i1p1,7.473084926605225
CMIP5,FIO-ESM,r1i1p1,6.007237911224365
CMIP5,GFDL-CM3,r1i1p1,-13.59383773803711
CMIP5,GFDL-ESM2G,r1i1p1,7.236440658569336
CMIP5,GISS-E2-H,r1i1p1,-6.287057876586914
CMIP5,GISS-E2-R,r1i1p1,1.0280098915100098
CMIP5,HadGEM2-CC,r1i1p1,14.484190940856934
CMIP5,HadGEM2-ES,r1i1p1,17.899765014648438
CMIP5,IPSL-CM5A-LR,r1i1p1,7.898917198181152
CMIP5,IPSL-CM5A-MR,r1i1p1,-12.130817413330078
CMIP5,IPSL-CM5B-LR,r1i1p1,11.871870994567871
CMIP5,MIROC-ESM-CHEM,r1i1p1,-0.35239502787590027
CMIP5,MIROC-ESM,r1i1p1,15.478192329406738
CMIP5,MIROC5,r1i1p1,-1.0355266332626343
CMIP5,MPI-ESM-LR,r1i1p1,11.94446849822998
CMIP5,MPI-ESM-MR,r1i1p1,-1.5477898120880127
CMIP5,MRI-CGCM3,r1i1p1,-3.5962681770324707
CMIP5,NorESM1-ME,r1i1p1,-1.5557218790054321
CMIP5,NorESM1-M,r1i1p1,-2.2560415267944336
CMIP5,bcc-csm1-1-m,r1i1p1,-3.820969820022583
CMIP5,bcc-csm1-1,r1i1p1,-5.931956768035889
CMIP5,inmcm4,r1i1p1,2.9907140731811523
CMIP6,ACCESS-CM2,r1i1p1f1,2.5184311866760254
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-22.33270835876465
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,6.265453815460205
CMIP6,BCC-CSM2-MR,r1i1p1f1,4.3208818435668945
CMIP6,CAMS-CSM1-0,r1i1p1f1,3.0589771270751953
CMIP6,CESM2-WACCM,r1i1p1f1,6.623729228973389
CMIP6,CMCC-CM2-SR5,r1i1p1f1,4.071006774902344
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-1.7732528448104858
CMIP6,CNRM-CM6-1,r1i1p1f2,5.976848602294922
CMIP6,CNRM-ESM2-1,r1i1p1f2,-5.270686149597168
