project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,5.053239822387695
CMIP5,ACCESS1-3,r1i1p1,-3.3020615577697754
CMIP5,BNU-ESM,r1i1p1,8.7407808303833
CMIP5,CCSM4,r1i1p1,-1.1246750354766846
CMIP5,CESM1-BGC,r1i1p1,-2.5902137756347656
CMIP5,CESM1-CAM5,r1i1p1,12.868194580078125
CMIP5,CMCC-CESM,r1i1p1,-13.767437934875488
CMIP5,CMCC-CMS,r1i1p1,-7.108152866363525
CMIP5,CMCC-CM,r1i1p1,0.6572587490081787
CMIP5,CNRM-CM5,r1i1p1,10.4332275390625
CMIP5,CSIRO-Mk3-6-0,r1i1p1,9.087482452392578
CMIP5,CanESM2,r1i1p1,16.015060424804688
CMIP5,EC-EARTH,r1i1p1,0.49323028326034546
CMIP5,FGOALS-g2,r1i1p1,4.04305362701416
CMIP5,FIO-ESM,r1i1p1,-0.681235134601593
CMIP5,GFDL-CM3,r1i1p1,12.248916625976562
CMIP5,GFDL-ESM2G,r1i1p1,7.882107257843018
CMIP5,GISS-E2-H,r1i1p1,-1.060279369354248
CMIP5,GISS-E2-R,r1i1p1,-11.141852378845215
CMIP5,HadGEM2-CC,r1i1p1,-7.929378032684326
CMIP5,HadGEM2-ES,r1i1p1,4.713241100311279
CMIP5,IPSL-CM5A-LR,r1i1p1,-4.186505317687988
CMIP5,IPSL-CM5A-MR,r1i1p1,12.135916709899902
CMIP5,IPSL-CM5B-LR,r1i1p1,11.776432037353516
CMIP5,MIROC-ESM-CHEM,r1i1p1,1.4119877815246582
CMIP5,MIROC-ESM,r1i1p1,-2.5897040367126465
CMIP5,MIROC5,r1i1p1,1.3631107807159424
CMIP5,MPI-ESM-LR,r1i1p1,3.363579034805298
CMIP5,MPI-ESM-MR,r1i1p1,-1.1478402614593506
CMIP5,MRI-CGCM3,r1i1p1,8.289267539978027
CMIP5,NorESM1-ME,r1i1p1,0.6257761716842651
CMIP5,NorESM1-M,r1i1p1,0.5798807144165039
CMIP5,bcc-csm1-1-m,r1i1p1,-0.04162841662764549
CMIP5,bcc-csm1-1,r1i1p1,-5.433804512023926
CMIP5,inmcm4,r1i1p1,3.595041513442993
CMIP6,ACCESS-CM2,r1i1p1f1,-5.767411231994629
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-5.469267845153809
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,10.122529029846191
CMIP6,BCC-CSM2-MR,r1i1p1f1,4.11313009262085
CMIP6,CAMS-CSM1-0,r1i1p1f1,-3.3907222747802734
CMIP6,CESM2-WACCM,r1i1p1f1,-10.10052490234375
CMIP6,CMCC-CM2-SR5,r1i1p1f1,8.499581336975098
