project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-5.036541938781738
CMIP5,ACCESS1-3,r1i1p1,-13.425077438354492
CMIP5,BNU-ESM,r1i1p1,-2.4731955528259277
CMIP5,CCSM4,r1i1p1,-5.493476390838623
CMIP5,CESM1-BGC,r1i1p1,-3.470994472503662
CMIP5,CESM1-CAM5,r1i1p1,0.3546060025691986
CMIP5,CMCC-CESM,r1i1p1,-33.799781799316406
CMIP5,CMCC-CMS,r1i1p1,-11.809402465820312
CMIP5,CMCC-CM,r1i1p1,-9.827179908752441
CMIP5,CNRM-CM5,r1i1p1,7.532175540924072
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-24.61300277709961
CMIP5,CanESM2,r1i1p1,-24.904924392700195
CMIP5,EC-EARTH,r1i1p1,-27.824020385742188
CMIP5,FGOALS-g2,r1i1p1,-11.756563186645508
CMIP5,FIO-ESM,r1i1p1,-0.8551372289657593
CMIP5,GFDL-CM3,r1i1p1,-19.33367156982422
CMIP5,GFDL-ESM2G,r1i1p1,-9.569375038146973
CMIP5,GISS-E2-H,r1i1p1,-2.608466148376465
CMIP5,GISS-E2-R,r1i1p1,2.2753076553344727
CMIP5,HadGEM2-CC,r1i1p1,-13.96440601348877
CMIP5,HadGEM2-ES,r1i1p1,-24.377243041992188
CMIP5,IPSL-CM5A-LR,r1i1p1,-8.009177207946777
CMIP5,IPSL-CM5A-MR,r1i1p1,-26.087743759155273
CMIP5,IPSL-CM5B-LR,r1i1p1,-3.974952220916748
CMIP5,MIROC-ESM-CHEM,r1i1p1,5.618592262268066
CMIP5,MIROC-ESM,r1i1p1,11.802952766418457
CMIP5,MIROC5,r1i1p1,0.7049429416656494
CMIP5,MPI-ESM-LR,r1i1p1,-4.205128192901611
CMIP5,MPI-ESM-MR,r1i1p1,-14.332514762878418
CMIP5,MRI-CGCM3,r1i1p1,5.267529487609863
CMIP5,NorESM1-ME,r1i1p1,-8.11742877960205
CMIP5,NorESM1-M,r1i1p1,-7.631951332092285
CMIP5,bcc-csm1-1-m,r1i1p1,-13.684399604797363
CMIP5,bcc-csm1-1,r1i1p1,3.4684479236602783
CMIP5,inmcm4,r1i1p1,-40.305213928222656
CMIP6,ACCESS-CM2,r1i1p1f1,-22.917604446411133
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-7.876005172729492
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,-26.767623901367188
CMIP6,BCC-CSM2-MR,r1i1p1f1,-19.323942184448242
CMIP6,CAMS-CSM1-0,r1i1p1f1,2.5336172580718994
CMIP6,CESM2-WACCM,r1i1p1f1,-15.102231979370117
CMIP6,CMCC-CM2-SR5,r1i1p1f1,-1.4234082698822021
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,4.781887531280518
CMIP6,CNRM-CM6-1,r1i1p1f2,-3.951555013656616
CMIP6,CNRM-ESM2-1,r1i1p1f2,-11.634299278259277
CMIP6,CanESM5-CanOE,r1i1p2f1,-22.27764320373535
CMIP6,CanESM5,r1i1p1f1,8.725025177001953
CMIP6,E3SM-1-1,r1i1p1f1,9.006471633911133
CMIP6,EC-Earth3-Veg,r1i1p1f1,8.90664291381836
CMIP6,FGOALS-f3-L,r1i1p1f1,-2.085082530975342
CMIP6,FGOALS-g3,r1i1p1f1,-9.611458778381348
CMIP6,FIO-ESM-2-0,r1i1p1f1,-16.667577743530273
CMIP6,GFDL-CM4,r1i1p1f1,-4.4715576171875
CMIP6,GFDL-ESM4,r1i1p1f1,-10.601351737976074
CMIP6,GISS-E2-1-G,r1i1p1f2,-17.543794631958008
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-21.15596580505371
CMIP6,INM-CM4-8,r1i1p1f1,-11.552390098571777
CMIP6,INM-CM5-0,r1i1p1f1,-15.808815002441406
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-17.647418975830078
CMIP6,KACE-1-0-G,r1i1p1f1,-40.54343795776367
CMIP6,MIROC-ES2L,r1i1p1f2,-4.428949356079102
CMIP6,MIROC6,r1i1p1f1,-11.718284606933594
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-11.18791675567627
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-20.59937858581543
CMIP6,MRI-ESM2-0,r1i1p1f1,5.609222412109375
CMIP6,NESM3,r1i1p1f1,-25.69343376159668
CMIP6,NorESM2-LM,r1i1p1f1,-6.497386932373047
CMIP6,NorESM2-MM,r1i1p1f1,-7.885131359100342
CMIP6,TaiESM1,r1i1p1f1,-9.859352111816406
CMIP6,UKESM1-0-LL,r1i1p1f2,-23.989015579223633
cordex_cpm,CNRM-AROME41t1,r1i1p1,9.459929466247559
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-13.505453109741211
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-12.26076602935791
cordex_cpm,GERICS-REMO2015,r1i1p1,-14.022008895874023
cordex_cpm,COSMO-pompa,r1i1p1,-3.103956937789917
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-23.690950393676758
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-7.910567283630371
CORDEX-EUR11,ALADIN53,r1i1p1,11.459680557250977
CORDEX-EUR11,ALADIN63,r1i1p1,13.738801002502441
CORDEX-EUR11,CCLM4-8-17,r1i1p1,16.289554595947266
CORDEX-EUR11,HIRHAM5,r1i1p1,2.7047839164733887
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,6.983063220977783
CORDEX-EUR11,RACMO22E,r1i1p1,6.914041996002197
CORDEX-EUR11,RCA4,r1i1p1,12.825292587280273
CORDEX-EUR11,CCLM4-8-17,r12i1p1,-17.7600154876709
CORDEX-EUR11,HIRHAM5,r3i1p1,2.6749231815338135
CORDEX-EUR11,HadREM3-GA7-05,r12i1p1,-6.602381229400635
CORDEX-EUR11,RACMO22E,r12i1p1,-10.081141471862793
CORDEX-EUR11,RCA4,r12i1p1,-10.80644702911377
CORDEX-EUR11,RCA4,r1i1p1,-20.66994285583496
CORDEX-EUR11,ALADIN63,r1i1p1,-12.359792709350586
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-14.079009056091309
CORDEX-EUR11,HIRHAM5,r1i1p1,-8.663615226745605
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-10.999168395996094
CORDEX-EUR11,RACMO22E,r1i1p1,2.9405038356781006
CORDEX-EUR11,RCA4,r1i1p1,-4.192781448364258
CORDEX-EUR11,RegCM4-6,r1i1p1,-4.801191806793213
CORDEX-EUR11,ALADIN63,r1i1p1,-2.151026487350464
CORDEX-EUR11,CCLM4-8-17,r1i1p1,10.216540336608887
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-5.7562947273254395
CORDEX-EUR11,RCA4,r1i1p1,-2.6242055892944336
CORDEX-EUR11,REMO2009,r1i1p1,-2.7834653854370117
CORDEX-EUR11,REMO2015,r3i1p1,-13.388138771057129
CORDEX-EUR11,ALADIN63,r1i1p1,-15.822334289550781
CORDEX-EUR11,HIRHAM5,r1i1p1,-8.901970863342285
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,5.976428985595703
CORDEX-EUR11,RACMO22E,r1i1p1,-4.066404819488525
CORDEX-EUR11,RCA4,r1i1p1,-8.658113479614258
CORDEX-EUR11,REMO2015,r1i1p1,-0.6393637657165527
UKCP-GCM,land-gcm,01,0.02912808548298228
UKCP-GCM,land-gcm,02,-42.638838864943104
UKCP-GCM,land-gcm,03,-34.76997485042561
UKCP-GCM,land-gcm,04,-21.06830383951941
UKCP-GCM,land-gcm,05,-29.8352298382374
UKCP-GCM,land-gcm,06,-52.34702368237142
UKCP-GCM,land-gcm,07,-15.86083138061497
UKCP-GCM,land-gcm,8,-38.5137490912176
UKCP-GCM,land-gcm,9,-40.97786481998911
UKCP-GCM,land-gcm,10,-45.82642266929483
UKCP-GCM,land-gcm,11,-22.962007863521148
UKCP-GCM,land-gcm,12,-17.3447532928754
UKCP-GCM,land-gcm,13,-15.039412230609518
UKCP-GCM,land-gcm,14,-50.73551545479488
UKCP-GCM,land-gcm,15,-23.07465591569388
UKCP-RCM,land-rcm,01,1.4207764535678586
UKCP-RCM,land-rcm,04,-15.753121891247673
UKCP-RCM,land-rcm,05,-11.344357946239231
UKCP-RCM,land-rcm,06,-43.03003956995403
UKCP-RCM,land-rcm,07,-18.16116956959672
UKCP-RCM,land-rcm,8,-4.850540249344684
UKCP-RCM,land-rcm,9,-36.170008841317525
UKCP-RCM,land-rcm,10,-31.09237121381976
UKCP-RCM,land-rcm,11,-22.186711705951577
UKCP-RCM,land-rcm,12,-20.43240186705905
UKCP-RCM,land-rcm,13,-14.072443178404944
UKCP-RCM,land-rcm,15,-20.34146581755872
