project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,19.552507400512695
CMIP5,ACCESS1-3,r1i1p1,7.766346454620361
CMIP5,BNU-ESM,r1i1p1,9.411470413208008
CMIP5,CCSM4,r1i1p1,-6.526805400848389
CMIP5,CESM1-BGC,r1i1p1,-13.7053804397583
CMIP5,CESM1-CAM5,r1i1p1,37.12874984741211
CMIP5,CMCC-CESM,r1i1p1,16.495412826538086
CMIP5,CMCC-CMS,r1i1p1,-14.132198333740234
CMIP5,CMCC-CM,r1i1p1,13.1408109664917
CMIP5,CNRM-CM5,r1i1p1,3.8689229488372803
CMIP5,CSIRO-Mk3-6-0,r1i1p1,-6.977303504943848
CMIP5,CanESM2,r1i1p1,14.607400894165039
CMIP5,EC-EARTH,r1i1p1,1.5386617183685303
CMIP5,FGOALS-g2,r1i1p1,8.521772384643555
CMIP5,FIO-ESM,r1i1p1,-5.31634521484375
CMIP5,GFDL-CM3,r1i1p1,0.27788063883781433
CMIP5,GFDL-ESM2G,r1i1p1,-20.898174285888672
CMIP5,GISS-E2-H,r1i1p1,-5.653904914855957
CMIP5,GISS-E2-R,r1i1p1,7.892197608947754
CMIP5,HadGEM2-CC,r1i1p1,-2.8559608459472656
CMIP5,HadGEM2-ES,r1i1p1,-5.980939865112305
CMIP5,IPSL-CM5A-LR,r1i1p1,-17.896472930908203
CMIP5,IPSL-CM5A-MR,r1i1p1,-3.765493631362915
CMIP5,IPSL-CM5B-LR,r1i1p1,-4.583328723907471
CMIP5,MIROC-ESM-CHEM,r1i1p1,-7.467232704162598
CMIP5,MIROC-ESM,r1i1p1,-13.603093147277832
CMIP5,MIROC5,r1i1p1,18.75213623046875
CMIP5,MPI-ESM-LR,r1i1p1,-12.053474426269531
CMIP5,MPI-ESM-MR,r1i1p1,0.30588865280151367
CMIP5,MRI-CGCM3,r1i1p1,4.1624321937561035
CMIP5,NorESM1-ME,r1i1p1,-8.347774505615234
CMIP5,NorESM1-M,r1i1p1,-2.826777935028076
CMIP5,bcc-csm1-1-m,r1i1p1,0.3562009036540985
CMIP5,bcc-csm1-1,r1i1p1,-4.010869026184082
CMIP5,inmcm4,r1i1p1,-8.794248580932617
CMIP6,ACCESS-CM2,r1i1p1f1,12.29069709777832
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-6.6261887550354
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,14.57345962524414
CMIP6,BCC-CSM2-MR,r1i1p1f1,5.360002517700195
CMIP6,CAMS-CSM1-0,r1i1p1f1,5.7397871017456055
CMIP6,CESM2-WACCM,r1i1p1f1,-0.31830090284347534
CMIP6,CMCC-CM2-SR5,r1i1p1f1,18.361305236816406
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,6.5078325271606445
CMIP6,CNRM-CM6-1,r1i1p1f2,7.926478862762451
CMIP6,CNRM-ESM2-1,r1i1p1f2,2.721837043762207
CMIP6,CanESM5-CanOE,r1i1p2f1,5.800607204437256
CMIP6,CanESM5,r1i1p1f1,19.79384422302246
CMIP6,E3SM-1-1,r1i1p1f1,-11.165555953979492
CMIP6,EC-Earth3-Veg,r1i1p1f1,11.543783187866211
CMIP6,FGOALS-f3-L,r1i1p1f1,-3.171902894973755
CMIP6,FGOALS-g3,r1i1p1f1,-10.873825073242188
CMIP6,FIO-ESM-2-0,r1i1p1f1,3.277254819869995
CMIP6,GFDL-CM4,r1i1p1f1,-0.28313127160072327
CMIP6,GFDL-ESM4,r1i1p1f1,0.34402796626091003
CMIP6,GISS-E2-1-G,r1i1p1f2,18.36130142211914
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,8.25934886932373
CMIP6,INM-CM4-8,r1i1p1f1,-13.026081085205078
CMIP6,INM-CM5-0,r1i1p1f1,15.716509819030762
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-11.541000366210938
CMIP6,KACE-1-0-G,r1i1p1f1,-11.128150939941406
CMIP6,MIROC-ES2L,r1i1p1f2,-11.737797737121582
CMIP6,MIROC6,r1i1p1f1,-13.040095329284668
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,12.347956657409668
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,8.81313705444336
CMIP6,MRI-ESM2-0,r1i1p1f1,-2.402419328689575
CMIP6,NESM3,r1i1p1f1,-4.220004081726074
CMIP6,NorESM2-LM,r1i1p1f1,-16.180294036865234
CMIP6,NorESM2-MM,r1i1p1f1,0.04894023761153221
CMIP6,TaiESM1,r1i1p1f1,-3.510904312133789
CMIP6,UKESM1-0-LL,r1i1p1f2,-8.20264720916748
cordex_cpm,CNRM-AROME41t1,r1i1p1,1.7630375623703003
cordex_cpm,CLMcom-CMCC-CCLM5-0-9,r12i1p1,-18.942874908447266
cordex_cpm,HCLIMcom-HCLIM38-AROME,r12i1p1,-17.696611404418945
cordex_cpm,GERICS-REMO2015,r1i1p1,-3.4616458415985107
cordex_cpm,COSMO-pompa,r1i1p1,-7.911393165588379
cordex_cpm2,ICTP-RegCM4-7-0,r1i1p1,-6.8949079513549805
cordex_cpm3,KNMI-HCLIM38h1-AROME,inconsistent,-0.4012925922870636
CORDEX-EUR11,ALADIN53,r1i1p1,7.956817626953125
CORDEX-EUR11,ALADIN63,r1i1p1,-0.6761770844459534
CORDEX-EUR11,CCLM4-8-17,r1i1p1,-5.830504894256592
CORDEX-EUR11,HIRHAM5,r1i1p1,-2.352515935897827
CORDEX-EUR11,HadREM3-GA7-05,r1i1p1,-1.5506592988967896
CORDEX-EUR11,RACMO22E,r1i1p1,-2.229811906814575
CORDEX-EUR11,RCA4,r1i1p1,2.5968141555786133
