project,dataset,ensemble,pr
CMIP5,ACCESS1-0,r1i1p1,-0.6262332797050476
CMIP5,ACCESS1-3,r1i1p1,7.493010997772217
CMIP5,BNU-ESM,r1i1p1,-3.535538911819458
CMIP5,CCSM4,r1i1p1,-0.9285855293273926
CMIP5,CESM1-BGC,r1i1p1,-3.7551536560058594
CMIP5,CESM1-CAM5,r1i1p1,4.5865559577941895
CMIP5,CMCC-CESM,r1i1p1,-4.859613418579102
CMIP5,CMCC-CMS,r1i1p1,-17.382434844970703
CMIP5,CMCC-CM,r1i1p1,6.1549482345581055
CMIP5,CNRM-CM5,r1i1p1,10.279502868652344
CMIP5,CSIRO-Mk3-6-0,r1i1p1,16.196983337402344
CMIP5,CanESM2,r1i1p1,4.629345417022705
CMIP5,EC-EARTH,r1i1p1,3.3408706188201904
CMIP5,FGOALS-g2,r1i1p1,4.9499359130859375
CMIP5,FIO-ESM,r1i1p1,1.9783720970153809
CMIP5,GFDL-CM3,r1i1p1,-17.990774154663086
CMIP5,GFDL-ESM2G,r1i1p1,8.656111717224121
CMIP5,GISS-E2-H,r1i1p1,-12.799458503723145
CMIP5,GISS-E2-R,r1i1p1,-6.7886061668396
CMIP5,HadGEM2-CC,r1i1p1,13.455089569091797
CMIP5,HadGEM2-ES,r1i1p1,1.0506255626678467
CMIP5,IPSL-CM5A-LR,r1i1p1,6.353207588195801
CMIP5,IPSL-CM5A-MR,r1i1p1,-21.559139251708984
CMIP5,IPSL-CM5B-LR,r1i1p1,12.87241268157959
CMIP5,MIROC-ESM-CHEM,r1i1p1,-2.4115793704986572
CMIP5,MIROC-ESM,r1i1p1,5.8930745124816895
CMIP5,MIROC5,r1i1p1,0.845100462436676
CMIP5,MPI-ESM-LR,r1i1p1,10.699233055114746
CMIP5,MPI-ESM-MR,r1i1p1,-3.0045347213745117
CMIP5,MRI-CGCM3,r1i1p1,1.3685262203216553
CMIP5,NorESM1-ME,r1i1p1,-5.0375237464904785
CMIP5,NorESM1-M,r1i1p1,-12.620930671691895
CMIP5,bcc-csm1-1-m,r1i1p1,-9.76094913482666
CMIP5,bcc-csm1-1,r1i1p1,-10.869614601135254
CMIP5,inmcm4,r1i1p1,3.9005496501922607
CMIP6,ACCESS-CM2,r1i1p1f1,-3.941840410232544
CMIP6,ACCESS-ESM1-5,r1i1p1f1,-28.11562156677246
CMIP6,AWI-CM-1-1-MR,r1i1p1f1,1.6370620727539062
CMIP6,BCC-CSM2-MR,r1i1p1f1,-14.10787296295166
CMIP6,CAMS-CSM1-0,r1i1p1f1,13.002695083618164
CMIP6,CESM2-WACCM,r1i1p1f1,13.17002010345459
CMIP6,CMCC-CM2-SR5,r1i1p1f1,5.526896953582764
CMIP6,CNRM-CM6-1-HR,r1i1p1f2,-9.029842376708984
CMIP6,CNRM-CM6-1,r1i1p1f2,2.961521863937378
CMIP6,CNRM-ESM2-1,r1i1p1f2,1.2923012971878052
CMIP6,CanESM5-CanOE,r1i1p2f1,2.2393457889556885
CMIP6,CanESM5,r1i1p1f1,8.88145923614502
CMIP6,E3SM-1-1,r1i1p1f1,30.178264617919922
CMIP6,EC-Earth3-Veg,r1i1p1f1,-3.003340005874634
CMIP6,FGOALS-f3-L,r1i1p1f1,-8.034011840820312
CMIP6,FGOALS-g3,r1i1p1f1,5.849628448486328
CMIP6,FIO-ESM-2-0,r1i1p1f1,1.9973334074020386
CMIP6,GFDL-CM4,r1i1p1f1,12.748991012573242
CMIP6,GFDL-ESM4,r1i1p1f1,1.951714277267456
CMIP6,GISS-E2-1-G,r1i1p1f2,0.2298182100057602
CMIP6,HadGEM3-GC31-LL,r1i1p1f3,-16.368227005004883
CMIP6,INM-CM4-8,r1i1p1f1,-4.73423433303833
CMIP6,INM-CM5-0,r1i1p1f1,-13.938272476196289
CMIP6,IPSL-CM6A-LR,r1i1p1f1,-0.12348145246505737
CMIP6,KACE-1-0-G,r1i1p1f1,-3.3455238342285156
CMIP6,MIROC-ES2L,r1i1p1f2,0.8358534574508667
CMIP6,MIROC6,r1i1p1f1,7.3823347091674805
CMIP6,MPI-ESM1-2-HR,r1i1p1f1,-5.108044624328613
CMIP6,MPI-ESM1-2-LR,r1i1p1f1,-5.971260070800781
CMIP6,MRI-ESM2-0,r1i1p1f1,3.556257486343384
CMIP6,NESM3,r1i1p1f1,-9.23790168762207
CMIP6,NorESM2-LM,r1i1p1f1,9.382060050964355
